$Lewiston inflow year 2017 YC 06/22/22,
19.5,0.0849
19.542,0.0849
19.583,0.0849
19.625,0.0849
19.667,0.0849
19.708,1.2637365
19.75,21.0947068
19.792,22.5710329
19.833,22.4479845
19.875,22.0513317
19.917,1.7442988
19.958,0.0849
20,0.0849
20.042,0.0849
20.083,0.0849
20.125,0.0849
20.167,0.0849
20.208,0.0849
20.25,0.0849
20.292,0.0849
20.333,0.0849
20.375,0.0849
20.417,0.0849
20.458,0.0849
20.5,0.0849
20.542,0.0849
20.583,0.0849
20.625,0.0849
20.667,0.0849
20.708,2.3920858
20.75,49.6377472
20.792,24.3371227
20.833,23.7684059
20.875,2.065617
20.917,0.0849
20.958,0.0849
21,0.0849
21.042,0.0849
21.083,0.0849
21.125,0.0849
21.167,0.0849
21.208,0.0849
21.25,0.0849
21.292,0.0849
21.333,0.0849
21.375,0.0849
21.417,0.0849
21.458,0.0849
21.5,0.0849
21.542,0.0849
21.583,0.0849
21.625,0.0849
21.667,0.0849
21.708,1.4085193
21.75,29.1055029
21.792,30.85832
21.833,31.8031155
21.875,35.5778827
21.917,2.6300888
21.958,0.0849
22,0.0849
22.042,0.0849
22.083,0.0849
22.125,0.0849
22.167,0.0849
22.208,0.0849
22.25,0.0849
22.292,0.0849
22.333,0.0849
22.375,0.0849
22.417,0.0849
22.458,0.0849
22.5,0.0849
22.542,0.0849
22.583,0.0849
22.625,0.0849
22.667,0.0849
22.708,1.5962898
22.75,33.0614467
22.792,34.7717855
22.833,34.9042012
22.875,34.05622
22.917,2.6397674
22.958,0.0849
23,0.0849
23.042,0.0849
23.083,0.0849
23.125,0.0849
23.167,0.0849
23.208,0.0849
23.25,0.0849
23.292,0.0849
23.333,0.0849
23.375,0.0849
23.417,0.0849
23.458,0.0849
23.5,0.0849
23.542,0.0849
23.583,0.0849
23.625,0.0849
23.667,0.0849
23.708,1.4768072
23.75,29.3052726
23.792,30.7607699
23.833,30.242512
23.875,2.0996902
23.917,0.0849
23.958,0.0849
24,0.0849
24.042,0.0849
24.083,0.0849
24.125,0.0849
24.167,0.0849
24.208,0.0849
24.25,0.0849
24.292,0.0849
24.333,0.0849
24.375,0.0849
24.417,0.0849
24.458,0.0849
24.5,0.0849
24.542,0.0849
24.583,0.0849
24.625,0.0849
24.667,0.0849
24.708,3.3621249
24.75,44.9439092
24.792,47.5503675
24.833,47.4349318
24.875,46.0399116
24.917,3.4140271
24.958,0.0849
25,0.0849
25.042,0.0849
25.083,0.0849
25.125,0.0849
25.167,0.0849
25.208,0.0849
25.25,0.0849
25.292,0.0849
25.333,0.0849
25.375,0.0849
25.417,0.0849
25.458,0.0849
25.5,0.0849
25.542,0.0849
25.583,0.0849
25.625,0.0849
25.667,0.0849
25.708,2.2804706
25.75,44.3612405
25.792,47.2664336
25.833,39.2892579
25.875,37.8942377
25.917,2.8398767
25.958,0.0849
26,0.0849
26.042,0.0849
26.083,0.0849
26.125,0.0849
26.167,0.0849
26.208,0.0849
26.25,0.0849
26.292,0.0849
26.333,0.0849
26.375,0.0849
26.417,0.0849
26.458,0.0849
26.5,1.5572641
26.542,27.8829146
26.583,14.0291024
26.625,13.0501488
26.667,12.9721257
26.708,13.8322476
26.75,36.6918839
26.792,54.1494464
26.833,55.2813615
26.875,45.9675485
26.917,3.2828283
26.958,0.0849
27,0.0849
27.042,0.0849
27.083,0.0849
27.125,0.0849
27.167,0.0849
27.208,0.0849
27.25,0.0849
27.292,0.0849
27.333,0.0849
27.375,0.0849
27.417,0.0849
27.458,0.0849
27.5,0.0849
27.542,0.0849
27.583,0.0849
27.625,0.0849
27.667,0.0849
27.708,2.2891021
27.75,25.4313422
27.792,37.9187172
27.833,37.845307
27.875,15.2428328
27.917,25.6702508
27.958,26.0028607
28,2.167497
28.042,0.0849
28.083,0.0849
28.125,0.0849
28.167,0.0849
28.208,0.0849
28.25,0.0849
28.292,0.0849
28.333,0.0849
28.375,0.0849
28.417,0.0849
28.458,0.0849
28.5,0.0849
28.542,0.0849
28.583,0.0849
28.625,0.0849
28.667,0.0849
28.708,2.7996624
28.75,36.4038748
28.792,38.5957381
28.833,38.1012239
28.875,23.3725738
28.917,26.250797
28.958,22.2018028
29,1.8644889
29.042,0.0849
29.083,0.0849
29.125,0.0849
29.167,0.0849
29.208,0.0849
29.25,0.0849
29.292,0.0849
29.333,0.0849
29.375,0.0849
29.417,0.0849
29.458,0.0849
29.5,0.0849
29.542,0.0849
29.583,0.0849
29.625,0.0849
29.667,0.0849
29.708,1.5048242
29.75,29.1425759
29.792,30.8932139
29.833,30.708896
29.875,30.0208381
29.917,2.3809639
29.958,0.0849
30,0.0849
30.042,0.0849
30.083,0.0849
30.125,0.0849
30.167,0.0849
30.208,0.0849
30.25,0.0849
30.292,0.0849
30.333,0.0849
30.375,0.0849
30.417,0.0849
30.458,0.0849
30.5,0.0849
30.542,0.0849
30.583,0.0849
30.625,0.0849
30.667,0.0849
30.708,2.8761007
30.75,36.3218048
30.792,38.6788552
30.833,38.6788552
30.875,38.6140765
30.917,37.8611833
30.958,3.561272
31,0.0849
31.042,0.0849
31.083,0.0849
31.125,0.0849
31.167,0.0849
31.208,0.0849
31.25,0.0849
31.292,0.0849
31.333,0.0849
31.375,0.0849
31.417,0.0849
31.458,0.0849
31.5,0.0849
31.542,0.0849
31.583,0.0849
31.625,0.0849
31.667,0.0849
31.708,3.0207986
31.75,36.6633575
31.792,46.9770378
31.833,47.3294294
31.875,46.4317251
31.917,3.3146941
31.958,0.0849
32,0.0849
32.042,0.0849
32.083,0.0849
32.125,0.0849
32.167,0.0849
32.208,0.0849
32.25,0.0849
32.292,2.8561492
32.333,43.2292688
32.375,3.0936145
32.417,0.0849
32.458,0.0849
32.5,0.0849
32.542,0.0849
32.583,0.0849
32.625,0.0849
32.667,0.0849
32.708,1.9717742
32.75,44.5570482
32.792,31.9672272
32.833,30.9795855
32.875,30.1907796
32.917,2.2762256
32.958,0.0849
33,0.0849
33.042,0.0849
33.083,0.0849
33.125,0.0849
33.167,0.0849
33.208,0.0849
33.25,0.0849
33.292,0.0849
33.333,0.0849
33.375,0.0849
33.417,0.0849
33.458,0.0849
33.5,0.0849
33.542,0.0849
33.583,0.0849
33.625,0.0849
33.667,0.0849
33.708,1.9987158
33.75,44.4260192
33.792,47.2531326
33.833,47.3027708
33.875,45.5630283
33.917,3.205824
33.958,0.0849
34,0.0849
34.042,0.0849
34.083,0.0849
34.125,0.0849
34.167,0.0849
34.208,0.0849
34.25,0.0849
34.292,0.0849
34.333,0.0849
34.375,0.0849
34.417,1.999678
34.458,12.8157116
34.5,1.1428672
34.542,0.0849
34.583,0.0849
34.625,0.0849
34.667,1.9795567
34.708,27.646836
34.75,45.6381931
34.792,44.9055061
34.833,38.501867
34.875,30.1389057
34.917,2.9520862
34.958,0.0849
35,0.0849
35.042,0.0849
35.083,0.0849
35.125,0.0849
35.167,0.0849
35.208,0.0849
35.25,0.0849
35.292,0.0849
35.333,0.0849
35.375,0.0849
35.417,0.0849
35.458,0.0849
35.5,0.0849
35.542,0.0849
35.583,0.0849
35.625,0.9885473
35.667,0.0849
35.708,2.4686939
35.75,21.7885945
35.792,45.4917406
35.833,46.3563056
35.875,30.9033736
35.917,2.3518432
35.958,0.0849
36,0.0849
36.042,0.0849
36.083,0.0849
36.125,0.0849
36.167,0.0849
36.208,0.0849
36.25,0.0849
36.292,0.0849
36.333,0.0849
36.375,0.0849
36.417,0.0849
36.458,0.0849
36.5,0.0849
36.542,0.0849
36.583,0.0849
36.625,0.0849
36.667,0.0849
36.708,1.7488834
36.75,36.2401027
36.792,38.2196311
36.833,38.3592916
36.875,38.2484122
36.917,2.8293208
36.958,0.0849
37,0.0849
37.042,0.0849
37.083,0.0849
37.125,0.0849
37.167,0.0849
37.208,0.0849
37.25,0.0849
37.292,0.0849
37.333,0.0849
37.375,0.0849
37.417,0.0849
37.458,0.0849
37.5,0.0849
37.542,0.0849
37.583,0.0849
37.625,0.0849
37.667,2.2629529
37.708,36.1364398
37.75,46.1334148
37.792,46.928192
37.833,46.6732939
37.875,45.8902329
37.917,30.4641859
37.958,2.2874041
38,0.0849
38.042,0.0849
38.083,0.0849
38.125,0.0849
38.167,0.0849
38.208,0.0849
38.25,0.0849
38.292,1.81686
38.333,11.7098891
38.375,1.8029647
38.417,0.0849
38.458,0.0849
38.5,0.0849
38.542,0.0849
38.583,0.0849
38.625,0.0849
38.667,0.4718742
38.708,12.3505445
38.75,22.780934
38.792,13.3712406
38.833,12.9979919
38.875,12.9310058
38.917,1.4301688
38.958,0.0849
39,0.0849
39.042,0.0849
39.083,0.0849
39.125,0.0849
39.167,0.0849
39.208,0.0849
39.25,0.0849
39.292,0.0849
39.333,0.0849
39.375,0.0849
39.417,0.0849
39.458,0.0849
39.5,0.0849
39.542,0.0849
39.583,0.0849
39.625,0.0849
39.667,0.0849
39.708,0.8917613
39.75,12.2483249
39.792,17.3057896
39.833,17.4987107
39.875,21.623464
39.917,22.0769149
39.958,21.8177718
40,21.6018145
40.042,1.7421763
40.083,0.0849
40.125,0.0849
40.167,0.0849
40.208,0.0849
40.25,0.0849
40.292,0.0849
40.333,0.0849
40.375,0.0849
40.417,0.0849
40.458,0.0849
40.5,0.0849
40.542,0.0849
40.583,0.0849
40.625,0.0849
40.667,0.0849
40.708,0.0849
40.75,0.0849
40.792,0.0849
40.833,0.0849
40.875,0.0849
40.917,0.0849
40.958,0.0849
41,0.0849
41.042,0.0849
41.083,0.0849
41.125,0.0849
41.167,0.0849
41.208,0.0849
41.25,0.0849
41.292,0.0849
41.333,0.0849
41.375,0.0849
41.417,0.0849
41.458,0.0849
41.5,0.0849
41.542,0.0849
41.583,0.0849
41.625,0.0849
41.667,0.0849
41.708,1.0562126
41.75,20.5507808
41.792,29.1598672
41.833,29.8364636
41.875,14.5149002
41.917,0.0921731
41.958,0.0849
42,0.0849
42.042,0.0849
42.083,0.0849
42.125,0.0849
42.167,0.0849
42.208,0.0849
42.25,0.0849
42.292,0.0849
42.333,0.0849
42.375,0.0849
42.417,0.0849
42.458,0.0849
42.5,0.0849
42.542,0.0849
42.583,0.0849
42.625,0.0849
42.667,2.697273
42.708,20.7520787
42.75,29.3761358
42.792,25.0936383
42.833,1.7178949
42.875,0.0849
42.917,0.0849
42.958,0.0849
43,0.0849
43.042,0.0849
43.083,0.0849
43.125,0.0849
43.167,0.0849
43.208,0.0849
43.25,0.0849
43.292,0.0849
43.333,0.0849
43.375,0.0849
43.417,0.0849
43.458,0.0849
43.5,0.0849
43.542,0.0849
43.583,0.0849
43.625,0.0849
43.667,0.0849
43.708,1.0045934
43.75,12.0640353
43.792,12.3159619
43.833,12.144662
43.875,12.545956
43.917,12.4833281
43.958,1.4431302
44,0.0849
44.042,0.0849
44.083,0.0849
44.125,0.0849
44.167,0.0849
44.208,0.0849
44.25,0.0849
44.292,0.0849
44.333,0.0849
44.375,0.0849
44.417,0.0849
44.458,0.0849
44.5,0.0849
44.542,0.0849
44.583,0.0849
44.625,0.0849
44.667,0.0849
44.708,1.3621639
44.75,12.3692508
44.792,32.0565137
44.833,33.0024129
44.875,32.9505673
44.917,25.4743582
44.958,2.1920331
45,0.0849
45.042,0.0849
45.083,0.0849
45.125,0.0849
45.167,0.0849
45.208,0.0849
45.25,0.0849
45.292,1.8515841
45.333,34.1882961
45.375,2.7927289
45.417,0.0849
45.458,0.0849
45.5,0.0849
45.542,0.0849
45.583,0.0849
45.625,0.0849
45.667,0.0849
45.708,0.9185614
45.75,12.0493193
45.792,20.5881934
45.833,20.9538577
45.875,20.7926326
45.917,12.8831788
45.958,1.6103266
46,0.0849
46.042,0.0849
46.083,0.0849
46.125,0.0849
46.167,0.0849
46.208,0.0849
46.25,0.0849
46.292,0.0849
46.333,0.0849
46.375,0.0849
46.417,0.0849
46.458,0.0849
46.5,0.0849
46.542,0.0849
46.583,0.0849
46.625,0.0849
46.667,0.0849
46.708,1.6045817
46.75,36.755474
46.792,39.0502927
46.833,39.1366643
46.875,38.2297342
46.917,2.9034951
46.958,0.0849
47,0.0849
47.042,0.0849
47.083,0.0849
47.125,0.0849
47.167,0.0849
47.208,0.0849
47.25,0.0849
47.292,0.0849
47.333,0.0849
47.375,0.0849
47.417,0.0849
47.458,0.0849
47.5,0.0849
47.542,0.0849
47.583,0.0849
47.625,0.0849
47.667,0.0849
47.708,2.9456338
47.75,37.0174754
47.792,38.9639211
47.833,38.1735304
47.875,2.7621366
47.917,0.0849
47.958,0.0849
48,0.0849
48.042,0.0849
48.083,0.0849
48.125,0.0849
48.167,0.0849
48.208,0.0849
48.25,0.0849
48.292,0.0849
48.333,0.0849
48.375,0.0849
48.417,0.0849
48.458,0.0849
48.5,0.0849
48.542,0.0849
48.583,0.0849
48.625,0.0849
48.667,0.0849
48.708,0.0849
48.75,2.6760197
48.792,30.4598843
48.833,32.1975326
48.875,31.1610168
48.917,2.3539657
48.958,0.0849
49,0.0849
49.042,0.0849
49.083,0.0849
49.125,0.0849
49.167,0.0849
49.208,0.0849
49.25,0.0849
49.292,0.8949026
49.333,17.1949668
49.375,1.6684831
49.417,0.0849
49.458,0.0849
49.5,0.0849
49.542,0.0849
49.583,0.0849
49.625,0.0849
49.667,0.0849
49.708,2.6270607
49.75,24.8452492
49.792,27.8527751
49.833,30.6484472
49.875,32.3861521
49.917,32.4509308
49.958,24.6163305
50,1.9346729
50.042,0.0849
50.083,0.0849
50.125,0.0849
50.167,0.0849
50.208,0.0849
50.25,0.0849
50.292,0.0849
50.333,0.0849
50.375,0.0849
50.417,0.0849
50.458,0.0849
50.5,0.0849
50.542,0.0849
50.583,0.0849
50.625,0.0849
50.667,0.0849
50.708,5.629719
50.75,50.8653446
50.792,52.6742806
50.833,52.4446827
50.875,52.2751374
50.917,39.0967613
50.958,37.8723618
51,6.5618644
51.042,0.0849
51.083,0.0849
51.125,0.0849
51.167,0.0849
51.208,0.0849
51.25,0.0849
51.292,0.0849
51.333,0.0849
51.375,0.0849
51.417,0.0849
51.458,0.0849
51.5,0.0849
51.542,0.0849
51.583,0.0849
51.625,0.0849
51.667,0.0849
51.708,0.0849
51.75,0.0849
51.792,0.0849
51.833,0.0849
51.875,0.0849
51.917,0.0849
51.958,0.0849
52,0.0849
52.042,0.0849
52.083,0.0849
52.125,0.0849
52.167,0.0849
52.208,0.0849
52.25,0.0849
52.292,0.0849
52.333,0.0849
52.375,0.0849
52.417,0.0849
52.458,0.0849
52.5,0.0849
52.542,0.0849
52.583,0.0849
52.625,0.0849
52.667,0.0849
52.708,0.0849
52.75,0.0849
52.792,0.0849
52.833,0.0849
52.875,0.0849
52.917,0.0849
52.958,0.0849
53,0.0849
53.042,0.0849
53.083,0.0849
53.125,0.0849
53.167,0.0849
53.208,0.0849
53.25,5.7924723
53.292,39.4303334
53.333,49.9526979
53.375,39.0618674
53.417,38.1491075
53.458,5.4578531
53.5,0.0849
53.542,0.0849
53.583,0.0849
53.625,0.0849
53.667,0.0849
53.708,5.541706
53.75,52.8998033
53.792,57.4390667
53.833,61.3419197
53.875,53.3490375
53.917,51.5825515
53.958,6.0891129
54,0.0849
54.042,0.0849
54.083,0.0849
54.125,0.0849
54.167,0.0849
54.208,0.0849
54.25,0.0849
54.292,0.0849
54.333,0.0849
54.375,0.0849
54.417,0.0849
54.458,0.0849
54.5,0.0849
54.542,0.0849
54.583,0.0849
54.625,6.5279893
54.667,44.4103127
54.708,51.6201622
54.75,51.9640072
54.792,57.9990105
54.833,58.7448287
54.875,57.9342601
54.917,6.430043
54.958,0.0849
55,0.0849
55.042,0.0849
55.083,0.0849
55.125,0.0849
55.167,0.0849
55.208,0.0849
55.25,0.0849
55.292,0.0849
55.333,0.0849
55.375,0.0849
55.417,0.0849
55.458,0.0849
55.5,0.0849
55.542,0.0849
55.583,0.0849
55.625,14.4394241
55.667,37.1943221
55.708,38.4284568
55.75,54.9255456
55.792,56.8862828
55.833,56.0085017
55.875,55.3022469
55.917,6.7049492
55.958,0.0849
56,0.0849
56.042,0.0849
56.083,0.0849
56.125,0.0849
56.167,0.0849
56.208,0.0849
56.25,0.0849
56.292,0.0849
56.333,0.0849
56.375,0.0849
56.417,0.0849
56.458,0.0849
56.5,0.0849
56.542,0.0849
56.583,0.0849
56.625,14.454508
56.667,37.5199702
56.708,45.0293752
56.75,55.8238725
56.792,63.0465419
56.833,63.3675771
56.875,56.5666343
56.917,6.9215857
56.958,0.0849
57,0.0849
57.042,0.0849
57.083,0.0849
57.125,0.0849
57.167,0.0849
57.208,0.0849
57.25,0.0849
57.292,0.0849
57.333,0.0849
57.375,0.0849
57.417,0.0849
57.458,0.0849
57.5,0.0849
57.542,0.0849
57.583,0.0849
57.625,0.0849
57.667,0.0849
57.708,14.6938977
57.75,57.1986299
57.792,58.7419421
57.833,58.6079982
57.875,58.5216266
57.917,52.2088305
57.958,38.6616488
58,2.8018698
58.042,0.0849
58.083,0.0849
58.125,0.0849
58.167,0.0849
58.208,0.0849
58.25,0.0849
58.292,0.0849
58.333,0.0849
58.375,0.0849
58.417,0.0849
58.458,0.0849
58.5,0.0849
58.542,0.0849
58.583,0.0849
58.625,0.0849
58.667,0.0849
58.708,14.6597113
58.75,48.1270366
58.792,58.7263771
58.833,58.5932539
58.875,57.9906337
58.917,6.381084
58.958,0.0849
59,0.0849
59.042,0.0849
59.083,0.0849
59.125,0.0849
59.167,0.0849
59.208,0.0849
59.25,0.0849
59.292,0.0849
59.333,0.0849
59.375,0.0849
59.417,0.0849
59.458,0.0849
59.5,0.0849
59.542,0.0849
59.583,0.0849
59.625,0.0849
59.667,0.0849
59.708,9.6687516
59.75,50.7245238
59.792,51.9065582
59.833,51.9929298
59.875,51.4731154
59.917,6.5152543
59.958,0.0849
60,0.0849
60.042,0.0849
60.083,0.0849
60.125,0.0849
60.167,0.0849
60.208,0.0849
60.25,0.0849
60.292,0.0849
60.333,0.0849
60.375,0.0849
60.417,0.0849
60.458,0.0849
60.5,0.0849
60.542,0.0849
60.583,0.0849
60.625,0.0849
60.667,0.0849
60.708,8.9206977
60.75,56.78112
60.792,58.571944
60.833,58.4613476
60.875,58.448273
60.917,58.2539652
60.958,42.3571194
61,7.6482448
61.042,0.0849
61.083,0.0849
61.125,0.0849
61.167,0.0849
61.208,0.0849
61.25,0.0849
61.292,0.0849
61.333,0.0849
61.375,0.0849
61.417,0.0849
61.458,0.0849
61.5,0.0849
61.542,0.0849
61.583,0.0849
61.625,0.0849
61.667,0.0849
61.708,6.5637039
61.75,56.740651
61.792,58.5289563
61.833,58.658259
61.875,58.4857139
61.917,58.1948748
61.958,50.3660194
62,56.104467
62.042,7.755332
62.083,0.0849
62.125,0.0849
62.167,0.0849
62.208,0.0849
62.25,0.0849
62.292,0.0849
62.333,0.0849
62.375,0.0849
62.417,0.0849
62.458,0.0849
62.5,0.0849
62.542,0.0849
62.583,0.0849
62.625,0.0849
62.667,6.1009706
62.708,56.7317082
62.75,58.8213802
62.792,58.4796011
62.833,58.7335936
62.875,58.4521784
62.917,58.1778382
62.958,7.4995
63,0.0849
63.042,0.0849
63.083,0.0849
63.125,0.0849
63.167,0.0849
63.208,0.0849
63.25,0.0849
63.292,0.0849
63.333,0.0849
63.375,0.0849
63.417,0.0849
63.458,0.0849
63.5,0.0849
63.542,0.0849
63.583,0.0849
63.625,5.0332399
63.667,44.5398701
63.708,57.501072
63.75,58.4122754
63.792,58.4756957
63.833,55.1154669
63.875,53.9940228
63.917,56.7193128
63.958,6.5354888
64,0.0849
64.042,0.0849
