 Branch:,           3 , # of structures:,           3 , outlet temperatures
      JDAY,      T(C),      T(C),      T(C),   Q(m3/s),   Q(m3/s),   Q(m3/s),    ELEVCL,    ELEVCL,    ELEVCL,
    4.1277,    -99.00,      8.81,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    4.1698,    -99.00,      8.80,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    4.2111,    -99.00,      8.79,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    4.2533,    -99.00,      8.79,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    4.2948,    -99.00,      8.78,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    4.3361,    -99.00,      8.78,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    4.3778,    -99.00,      8.77,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    4.4198,    -99.00,      8.77,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    4.4617,    -99.00,      8.77,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    4.5035,    -99.00,      8.77,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    4.5448,    -99.00,      8.77,    -99.00,      0.00,      6.92,      0.00,    301.90,    340.05,    368.81,
    4.5867,    -99.00,      8.77,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    4.6285,    -99.00,      8.77,    -99.00,      0.00,      6.96,      0.00,    301.90,    340.05,    368.81,
    4.6698,    -99.00,      8.77,    -99.00,      0.00,      6.91,      0.00,    301.90,    340.05,    368.81,
    4.7117,    -99.00,      8.77,    -99.00,      0.00,      6.96,      0.00,    301.90,    340.05,    368.81,
    4.7532,    -99.00,      8.77,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    4.7950,    -99.00,      8.77,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    4.8364,    -99.00,      8.76,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    4.8784,    -99.00,      8.76,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    4.9205,    -99.00,      8.75,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    4.9618,    -99.00,      8.75,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    5.0035,    -99.00,      8.74,    -99.00,      0.00,      6.92,      0.00,    301.90,    340.05,    368.81,
    5.0455,    -99.00,      8.74,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    5.0872,    -99.00,      8.73,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    5.1285,    -99.00,      8.73,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    5.1705,    -99.00,      8.73,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    5.2122,    -99.00,      8.72,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    5.2535,    -99.00,      8.72,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    5.2955,    -99.00,      8.71,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    5.3373,    -99.00,      8.71,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    5.3792,    -99.00,      8.70,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    5.4205,    -99.00,      8.70,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
