$Lewiston 2019 withdrawals YC 06/15/22,,,
",,,",,,
Julian Day,Fish Hatchery,Power Plant + River,Clear Creek Intake
16.417,0.0283,3.1417245,0.9382016
16.458,0.0283,3.1417245,0.9432107
16.5,0.0283,3.1417245,0.9600209
16.542,0.0283,3.1417245,0.9359942
16.583,0.0283,3.1417245,0.923995
16.625,0.0283,3.1417245,0.9576154
16.667,0.0283,3.1417245,0.9547288
16.708,0.0283,3.1417245,0.9458426
16.75,0.0283,3.1417245,0.9192123
16.792,0.0283,3.1417245,0.9480217
16.833,0.0283,3.1417245,0.9213914
16.875,0.0283,3.1417245,0.9340981
16.917,0.0283,3.1417245,0.9307587
16.958,0.0283,3.1417245,0.9120241
17,0.0283,3.1417245,0.9192123
17.042,0.0283,3.1417245,0.9236554
17.083,0.0283,3.1417245,0.9142881
17.125,0.0283,3.1417245,0.9410599
17.167,0.0283,3.1417245,0.9568796
17.208,0.0283,3.1417245,0.9596813
17.25,0.0283,3.1417245,0.9403241
17.292,0.0283,3.1417245,0.925693
17.333,0.0283,3.1417245,0.9507668
17.375,0.0283,3.1417245,0.9173162
17.417,0.0283,3.1417245,0.9023172
17.458,0.0283,3.133093,0.9563985
17.5,0.0283,3.1503843,0.9361357
17.542,0.0283,3.1417245,0.9462388
17.583,0.0283,3.1417245,0.9302776
17.625,0.0283,3.133093,0.9144013
17.667,0.0283,3.1417245,0.9482481
17.708,0.0283,3.1503843,0.9088828
17.75,0.0283,3.1417245,0.9093922
17.792,0.0283,3.133093,0.9218725
17.833,0.0283,3.1417245,0.9223253
17.875,0.0283,3.1503843,0.930504
17.917,0.0283,3.1417245,0.9443993
17.958,0.0283,3.133093,0.9259194
18,0.0283,3.1417245,0.9266552
18.042,0.0283,3.1503843,0.9120241
18.083,0.0283,3.133093,0.9479934
18.125,0.0283,3.1417245,0.9117694
18.167,0.0283,3.1417245,0.9408052
18.208,0.0283,3.1503843,0.9623981
18.25,0.0283,3.1417245,0.947767
18.292,0.0283,3.133093,0.9052887
18.333,0.0283,3.1417245,0.9120241
18.375,0.0283,3.1417245,0.9410599
18.417,0.0283,3.1417245,0.9117694
18.458,0.0283,3.1417245,0.9485028
18.5,0.0283,3.1417245,0.9484745
18.542,0.0283,3.1417245,0.9261741
18.583,0.0283,3.1417245,0.919467
18.625,0.0283,3.1417245,0.9480217
18.667,0.0283,3.1417245,0.9264288
18.708,0.0283,3.1417245,0.9479934
18.75,0.0283,3.1417245,0.9410599
18.792,0.0283,3.1417245,0.947767
18.833,0.0283,3.1417245,0.9533138
18.875,0.0283,3.1417245,0.9338434
18.917,0.0283,3.1417245,0.9048076
18.958,0.0283,3.1417245,0.9469463
19,0.0283,3.1417245,0.9423617
19.042,0.0283,3.1417245,0.9196934
19.083,0.0283,3.1417245,0.9259194
19.125,0.0283,3.1417245,0.917203
19.167,0.0283,3.1417245,0.9830288
19.208,0.0283,3.1417245,0.9577286
19.25,0.0283,3.1417245,0.9099865
19.292,0.0283,3.1417245,0.9120241
19.333,0.0283,3.1417245,0.9570211
19.375,0.0283,3.1417245,0.9278721
19.417,0.0283,3.1417245,0.9531723
19.458,0.0283,3.133093,2.6216271
19.5,0.0283,3.1417245,8.1287505
19.542,0.0283,3.1503843,7.2793543
19.583,0.0283,3.133093,9.8174681
19.625,0.0283,3.1417245,7.3755743
19.667,0.0283,3.1503843,3.907947
19.708,0.0283,3.1417245,3.60825
19.75,0.0283,3.133093,13.3105654
19.792,0.0283,3.1417245,13.8142205
19.833,0.0283,3.1503843,13.7837131
19.875,0.0283,3.1417245,13.4355948
19.917,0.0283,3.133093,2.2748955
19.958,0.0283,3.1417245,0.9266552
20,0.0283,3.1417245,0.9460973
20.042,0.0283,3.1417245,0.947767
20.083,0.0283,3.1417245,0.9137221
20.125,0.0283,3.1417245,0.931919
20.167,0.0283,3.1417245,0.9192123
20.208,0.0283,3.1417245,0.9285796
20.25,0.0283,3.1417245,0.9259194
20.292,0.0283,3.1417245,0.9185048
20.333,0.0283,3.1417245,0.933617
20.375,0.0283,3.1417245,0.9386544
20.417,0.0283,3.1417245,0.933617
20.458,0.0283,3.1417245,0.9429843
20.5,0.0283,3.1417245,0.924278
20.542,0.0283,3.1417245,0.911543
20.583,0.0283,3.1417245,0.9264288
20.625,0.0283,3.1417245,0.9357678
20.667,0.0283,3.1417245,0.933617
20.708,0.0283,3.1417245,0.9383997
