$Trinity Br1 inflow year 2019 updated YC 06/01/23,
",,,",
Jday,USBR TL Inflow (QI)
18.708,51.96092312
18.75,51.96092312
18.792,51.96092312
18.833,51.96092312
18.875,51.96092312
18.917,51.96092312
18.958,51.96092312
19,58.13393742
19.042,58.13393742
19.083,58.13393742
19.125,58.13393742
19.167,58.13393742
19.208,58.13393742
19.25,58.13393742
19.292,58.13393742
19.333,58.13393742
19.375,58.13393742
19.417,58.13393742
19.458,58.13393742
19.5,58.13393742
19.542,58.13393742
19.583,58.13393742
19.625,58.13393742
19.667,58.13393742
19.708,58.13393742
19.75,58.13393742
19.792,58.13393742
19.833,58.13393742
19.875,58.13393742
19.917,58.13393742
19.958,58.13393742
20,100.099108
20.042,100.099108
20.083,100.099108
20.125,100.099108
20.167,100.099108
20.208,100.099108
20.25,100.099108
20.292,100.099108
20.333,100.099108
20.375,100.099108
20.417,100.099108
20.458,100.099108
20.5,100.099108
20.542,100.099108
20.583,100.099108
20.625,100.099108
20.667,100.099108
20.708,100.099108
20.75,100.099108
20.792,100.099108
20.833,100.099108
20.875,100.099108
20.917,100.099108
20.958,100.099108
21,61.90004247
21.042,61.90004247
21.083,61.90004247
21.125,61.90004247
21.167,61.90004247
21.208,61.90004247
21.25,61.90004247
21.292,61.90004247
21.333,61.90004247
21.375,61.90004247
21.417,61.90004247
21.458,61.90004247
21.5,61.90004247
21.542,61.90004247
21.583,61.90004247
21.625,61.90004247
21.667,61.90004247
21.708,61.90004247
21.75,61.90004247
21.792,61.90004247
21.833,61.90004247
21.875,61.90004247
21.917,61.90004247
21.958,61.90004247
22,39.24677899
22.042,39.24677899
22.083,39.24677899
22.125,39.24677899
22.167,39.24677899
22.208,39.24677899
22.25,39.24677899
22.292,39.24677899
22.333,39.24677899
22.375,39.24677899
22.417,39.24677899
22.458,39.24677899
22.5,39.24677899
22.542,39.24677899
22.583,39.24677899
22.625,39.24677899
22.667,39.24677899
22.708,39.24677899
22.75,39.24677899
22.792,39.24677899
22.833,39.24677899
22.875,39.24677899
22.917,39.24677899
