$Trinity Lake Br3 inflow year 2019 updated YC 06/01/23,
",,,",
Jday,USBR TL Inflow (QI)
26.125,4.445702959
26.167,4.445702959
26.208,4.445702959
26.25,4.445702959
26.292,4.445702959
26.333,4.445702959
26.375,4.445702959
26.417,4.445702959
26.458,4.445702959
26.5,4.445702959
26.542,4.445702959
26.583,4.445702959
26.625,4.445702959
26.667,4.445702959
26.708,4.445702959
26.75,4.445702959
26.792,4.445702959
26.833,4.445702959
26.875,4.445702959
26.917,4.445702959
26.958,4.445702959
27,4.983717967
27.042,4.983717967
27.083,4.983717967
27.125,4.983717967
27.167,4.983717967
27.208,4.983717967
27.25,4.983717967
27.292,4.983717967
27.333,4.983717967
27.375,4.983717967
27.417,4.983717967
27.458,4.983717967
27.5,4.983717967
27.542,4.983717967
27.583,4.983717967
27.625,4.983717967
27.667,4.983717967
27.708,4.983717967
27.75,4.983717967
27.792,4.983717967
27.833,4.983717967
27.875,4.983717967
27.917,4.983717967
27.958,4.983717967
28,4.304120062
28.042,4.304120062
28.083,4.304120062
28.125,4.304120062
28.167,4.304120062
28.208,4.304120062
28.25,4.304120062
28.292,4.304120062
28.333,4.304120062
28.375,4.304120062
28.417,4.304120062
28.458,4.304120062
28.5,4.304120062
28.542,4.304120062
28.583,4.304120062
28.625,4.304120062
28.667,4.304120062
28.708,4.304120062
28.75,4.304120062
28.792,4.304120062
28.833,4.304120062
28.875,4.304120062
28.917,4.304120062
28.958,4.304120062
29,4.757185332
29.042,4.757185332
29.083,4.757185332
29.125,4.757185332
29.167,4.757185332
29.208,4.757185332
29.25,4.757185332
29.292,4.757185332
29.333,4.757185332
29.375,4.757185332
29.417,4.757185332
29.458,4.757185332
29.5,4.757185332
29.542,4.757185332
29.583,4.757185332
29.625,4.757185332
29.667,4.757185332
29.708,4.757185332
29.75,4.757185332
29.792,4.757185332
29.833,4.757185332
29.875,4.757185332
29.917,4.757185332
29.958,4.757185332
30,4.700552173
30.042,4.700552173
30.083,4.700552173
30.125,4.700552173
30.167,4.700552173
30.208,4.700552173
30.25,4.700552173
30.292,4.700552173
30.333,4.700552173
30.375,4.700552173
30.417,4.700552173
30.458,4.700552173
30.5,4.700552173
30.542,4.700552173
30.583,4.700552173
30.625,4.700552173
30.667,4.700552173
30.708,4.700552173
30.75,4.700552173
30.792,4.700552173
30.833,4.700552173
30.875,4.700552173
30.917,4.700552173
30.958,4.700552173
31,4.162537166
31.042,4.162537166
31.083,4.162537166
31.125,4.162537166
31.167,4.162537166
31.208,4.162537166
31.25,4.162537166
31.292,4.162537166
31.333,4.162537166
31.375,4.162537166
31.417,4.162537166
31.458,4.162537166
31.5,4.162537166
31.542,4.162537166
31.583,4.162537166
31.625,4.162537166
31.667,4.162537166
31.708,4.162537166
31.75,4.162537166
31.792,4.162537166
31.833,4.162537166
31.875,4.162537166
31.917,4.162537166
31.958,4.162537166
32,6.371230355
32.042,6.371230355
32.083,6.371230355
32.125,6.371230355
32.167,6.371230355
32.208,6.371230355
32.25,6.371230355
32.292,6.371230355
32.333,6.371230355
32.375,6.371230355
32.417,6.371230355
32.458,6.371230355
32.5,6.371230355
32.542,6.371230355
32.583,6.371230355
32.625,6.371230355
32.667,6.371230355
32.708,6.371230355
32.75,6.371230355
32.792,6.371230355
32.833,6.371230355
32.875,6.371230355
32.917,6.371230355
32.958,6.371230355
33,13.9883902
33.042,13.9883902
33.083,13.9883902
33.125,13.9883902
33.167,13.9883902
33.208,13.9883902
33.25,13.9883902
33.292,13.9883902
33.333,13.9883902
33.375,13.9883902
33.417,13.9883902
33.458,13.9883902
33.5,13.9883902
33.542,13.9883902
33.583,13.9883902
33.625,13.9883902
33.667,13.9883902
33.708,13.9883902
33.75,13.9883902
33.792,13.9883902
33.833,13.9883902
33.875,13.9883902
33.917,13.9883902
33.958,13.9883902
34,11.26999858
34.042,11.26999858
34.083,11.26999858
34.125,11.26999858
34.167,11.26999858
34.208,11.26999858
34.25,11.26999858
34.292,11.26999858
34.333,11.26999858
34.375,11.26999858
34.417,11.26999858
34.458,11.26999858
34.5,11.26999858
34.542,11.26999858
34.583,11.26999858
34.625,11.26999858
34.667,11.26999858
34.708,11.26999858
34.75,11.26999858
34.792,11.26999858
34.833,11.26999858
34.875,11.26999858
34.917,11.26999858
34.958,11.26999858
35,8.749823021
35.042,8.749823021
35.083,8.749823021
35.125,8.749823021
35.167,8.749823021
35.208,8.749823021
35.25,8.749823021
35.292,8.749823021
35.333,8.749823021
35.375,8.749823021
35.417,8.749823021
35.458,8.749823021
35.5,8.749823021
35.542,8.749823021
35.583,8.749823021
35.625,8.749823021
35.667,8.749823021
35.708,8.749823021
35.75,8.749823021
35.792,8.749823021
35.833,8.749823021
35.875,8.749823021
35.917,8.749823021
35.958,8.749823021
36,7.05082826
36.042,7.05082826
36.083,7.05082826
36.125,7.05082826
36.167,7.05082826
36.208,7.05082826
36.25,7.05082826
36.292,7.05082826
36.333,7.05082826
36.375,7.05082826
36.417,7.05082826
36.458,7.05082826
36.5,7.05082826
36.542,7.05082826
36.583,7.05082826
36.625,7.05082826
36.667,7.05082826
36.708,7.05082826
36.75,7.05082826
36.792,7.05082826
36.833,7.05082826
36.875,7.05082826
36.917,7.05082826
36.958,7.05082826
37,5.606682713
37.042,5.606682713
37.083,5.606682713
37.125,5.606682713
37.167,5.606682713
37.208,5.606682713
37.25,5.606682713
37.292,5.606682713
37.333,5.606682713
37.375,5.606682713
37.417,5.606682713
37.458,5.606682713
37.5,5.606682713
37.542,5.606682713
37.583,5.606682713
37.625,5.606682713
37.667,5.606682713
37.708,5.606682713
37.75,5.606682713
37.792,5.606682713
37.833,5.606682713
37.875,5.606682713
37.917,5.606682713
37.958,5.606682713
38,5.153617443
38.042,5.153617443
38.083,5.153617443
38.125,5.153617443
38.167,5.153617443
38.208,5.153617443
38.25,5.153617443
38.292,5.153617443
38.333,5.153617443
38.375,5.153617443
38.417,5.153617443
38.458,5.153617443
38.5,5.153617443
38.542,5.153617443
38.583,5.153617443
38.625,5.153617443
38.667,5.153617443
38.708,5.153617443
38.75,5.153617443
38.792,5.153617443
38.833,5.153617443
38.875,5.153617443
38.917,5.153617443
38.958,5.153617443
39,4.077587427
39.042,4.077587427
39.083,4.077587427
39.125,4.077587427
39.167,4.077587427
39.208,4.077587427
39.25,4.077587427
39.292,4.077587427
39.333,4.077587427
39.375,4.077587427
39.417,4.077587427
39.458,4.077587427
39.5,4.077587427
39.542,4.077587427
39.583,4.077587427
39.625,4.077587427
39.667,4.077587427
39.708,4.077587427
39.75,4.077587427
39.792,4.077587427
39.833,4.077587427
39.875,4.077587427
39.917,4.077587427
39.958,4.077587427
40,4.587285856
40.042,4.587285856
40.083,4.587285856
40.125,4.587285856
40.167,4.587285856
40.208,4.587285856
40.25,4.587285856
40.292,4.587285856
40.333,4.587285856
40.375,4.587285856
40.417,4.587285856
40.458,4.587285856
40.5,4.587285856
40.542,4.587285856
40.583,4.587285856
40.625,4.587285856
40.667,4.587285856
40.708,4.587285856
40.75,4.587285856
40.792,4.587285856
40.833,4.587285856
40.875,4.587285856
40.917,4.587285856
40.958,4.587285856
41,3.624522158
41.042,3.624522158
41.083,3.624522158
41.125,3.624522158
41.167,3.624522158
41.208,3.624522158
41.25,3.624522158
41.292,3.624522158
41.333,3.624522158
41.375,3.624522158
41.417,3.624522158
41.458,3.624522158
41.5,3.624522158
41.542,3.624522158
41.583,3.624522158
41.625,3.624522158
41.667,3.624522158
41.708,3.624522158
41.75,3.624522158
41.792,3.624522158
41.833,3.624522158
41.875,3.624522158
41.917,3.624522158
41.958,3.624522158
42,3.341356364
42.042,3.341356364
42.083,3.341356364
42.125,3.341356364
42.167,3.341356364
42.208,3.341356364
42.25,3.341356364
42.292,3.341356364
42.333,3.341356364
42.375,3.341356364
42.417,3.341356364
42.458,3.341356364
42.5,3.341356364
42.542,3.341356364
42.583,3.341356364
42.625,3.341356364
42.667,3.341356364
42.708,3.341356364
42.75,3.341356364
42.792,3.341356364
42.833,3.341356364
42.875,3.341356364
42.917,3.341356364
42.958,3.341356364
43,6.909245363
43.042,6.909245363
43.083,6.909245363
43.125,6.909245363
43.167,6.909245363
43.208,6.909245363
43.25,6.909245363
43.292,6.909245363
43.333,6.909245363
43.375,6.909245363
43.417,6.909245363
43.458,6.909245363
43.5,6.909245363
43.542,6.909245363
43.583,6.909245363
43.625,6.909245363
43.667,6.909245363
43.708,6.909245363
43.75,6.909245363
43.792,6.909245363
43.833,6.909245363
43.875,6.909245363
43.917,6.909245363
43.958,6.909245363
44,8.494973807
44.042,8.494973807
44.083,8.494973807
44.125,8.494973807
44.167,8.494973807
44.208,8.494973807
44.25,8.494973807
44.292,8.494973807
44.333,8.494973807
44.375,8.494973807
44.417,8.494973807
44.458,8.494973807
44.5,8.494973807
44.542,8.494973807
44.583,8.494973807
44.625,8.494973807
44.667,8.494973807
44.708,8.494973807
44.75,8.494973807
44.792,8.494973807
44.833,8.494973807
44.875,8.494973807
44.917,8.494973807
44.958,8.494973807
45,16.5935155
45.042,16.5935155
45.083,16.5935155
45.125,16.5935155
45.167,16.5935155
45.208,16.5935155
45.25,16.5935155
45.292,16.5935155
45.333,16.5935155
45.375,16.5935155
45.417,16.5935155
45.458,16.5935155
45.5,16.5935155
45.542,16.5935155
45.583,16.5935155
45.625,16.5935155
45.667,16.5935155
45.708,16.5935155
45.75,16.5935155
45.792,16.5935155
45.833,16.5935155
45.875,16.5935155
45.917,16.5935155
45.958,16.5935155
46,12.03454623
46.042,12.03454623
46.083,12.03454623
46.125,12.03454623
46.167,12.03454623
46.208,12.03454623
46.25,12.03454623
46.292,12.03454623
46.333,12.03454623
46.375,12.03454623
46.417,12.03454623
46.458,12.03454623
46.5,12.03454623
46.542,12.03454623
46.583,12.03454623
46.625,12.03454623
46.667,12.03454623
46.708,12.03454623
46.75,12.03454623
46.792,12.03454623
46.833,12.03454623
46.875,12.03454623
46.917,12.03454623
46.958,12.03454623
47,8.35339091
47.042,8.35339091
47.083,8.35339091
47.125,8.35339091
47.167,8.35339091
47.208,8.35339091
47.25,8.35339091
47.292,8.35339091
47.333,8.35339091
47.375,8.35339091
47.417,8.35339091
47.458,8.35339091
47.5,8.35339091
47.542,8.35339091
47.583,8.35339091
47.625,8.35339091
47.667,8.35339091
47.708,8.35339091
47.75,8.35339091
47.792,8.35339091
47.833,8.35339091
47.875,8.35339091
47.917,8.35339091
47.958,8.35339091
48,6.654396149
48.042,6.654396149
48.083,6.654396149
48.125,6.654396149
48.167,6.654396149
48.208,6.654396149
48.25,6.654396149
48.292,6.654396149
48.333,6.654396149
48.375,6.654396149
48.417,6.654396149
48.458,6.654396149
48.5,6.654396149
48.542,6.654396149
48.583,6.654396149
48.625,6.654396149
48.667,6.654396149
48.708,6.654396149
48.75,6.654396149
48.792,6.654396149
48.833,6.654396149
48.875,6.654396149
48.917,6.654396149
48.958,6.654396149
49,5.550049554
49.042,5.550049554
49.083,5.550049554
49.125,5.550049554
49.167,5.550049554
49.208,5.550049554
49.25,5.550049554
49.292,5.550049554
49.333,5.550049554
49.375,5.550049554
49.417,5.550049554
49.458,5.550049554
49.5,5.550049554
49.542,5.550049554
49.583,5.550049554
49.625,5.550049554
49.667,5.550049554
49.708,5.550049554
49.75,5.550049554
49.792,5.550049554
49.833,5.550049554
49.875,5.550049554
49.917,5.550049554
49.958,5.550049554
50,4.615602435
50.042,4.615602435
50.083,4.615602435
50.125,4.615602435
50.167,4.615602435
50.208,4.615602435
50.25,4.615602435
50.292,4.615602435
50.333,4.615602435
50.375,4.615602435
50.417,4.615602435
50.458,4.615602435
50.5,4.615602435
50.542,4.615602435
50.583,4.615602435
50.625,4.615602435
50.667,4.615602435
50.708,4.615602435
50.75,4.615602435
50.792,4.615602435
50.833,4.615602435
50.875,4.615602435
50.917,4.615602435
50.958,4.615602435
51,5.26688376
51.042,5.26688376
51.083,5.26688376
51.125,5.26688376
51.167,5.26688376
51.208,5.26688376
51.25,5.26688376
51.292,5.26688376
51.333,5.26688376
51.375,5.26688376
51.417,5.26688376
51.458,5.26688376
51.5,5.26688376
51.542,5.26688376
51.583,5.26688376
51.625,5.26688376
51.667,5.26688376
51.708,5.26688376
51.75,5.26688376
51.792,5.26688376
51.833,5.26688376
51.875,5.26688376
51.917,5.26688376
51.958,5.26688376
52,4.587285856
52.042,4.587285856
52.083,4.587285856
52.125,4.587285856
52.167,4.587285856
52.208,4.587285856
52.25,4.587285856
52.292,4.587285856
52.333,4.587285856
52.375,4.587285856
52.417,4.587285856
52.458,4.587285856
52.5,4.587285856
52.542,4.587285856
52.583,4.587285856
52.625,4.587285856
52.667,4.587285856
52.708,4.587285856
52.75,4.587285856
52.792,4.587285856
52.833,4.587285856
52.875,4.587285856
52.917,4.587285856
52.958,4.587285856
53,3.624522158
53.042,3.624522158
53.083,3.624522158
53.125,3.624522158
53.167,3.624522158
53.208,3.624522158
53.25,3.624522158
53.292,3.624522158
53.333,3.624522158
53.375,3.624522158
53.417,3.624522158
53.458,3.624522158
53.5,3.624522158
53.542,3.624522158
53.583,3.624522158
53.625,3.624522158
53.667,3.624522158
53.708,3.624522158
53.75,3.624522158
53.792,3.624522158
