 JDAY =    291.580844302622     
QIN:,13.071374,.000000,.000000,
QTR:,.000000,.000000,
QDT:,9.667285,.000000,.000000,
QWD:,2.688868,2.858696,16.371380,

SEG,BRANCH,KT,WSE,SZ,Z,Q,QC,QERR,H2KT,H1KT,BHR1,BHR2,T1,T2,SUKT,UKT
54,1,5,579.688018,-.798035,-.798018,66.752637,50458058126.576584,-75589609715.735168,1.298035,1.298018,56.282073,56.281694,7.944786,7.944786,.303625,290210504.013178
55,1,5,579.754793,-.864764,-.864793,96.415752,50458058156.237068,-52333832509.876785,1.364764,1.364793,139.935617,139.934312,8.297356,8.297356,.162814,127596550.669042
56,1,5,579.676916,-.786909,-.786916,95.266080,50458058155.090157,-52965397566.998764,1.286909,1.286916,209.161291,209.159843,8.874100,8.874100,.055679,101608161.095924
57,1,5,579.673972,-.783964,-.783972,93.651875,50458058153.475975,-53878321359.363983,1.283964,1.283972,186.533714,186.532575,8.485826,8.485826,.183213,132206754.151695
58,1,5,579.667034,-.777030,-.777034,93.108706,50458058152.932800,-54192631543.591240,1.277030,1.277034,189.392537,189.392458,8.787482,8.787482,.172545,132371734.109823
59,1,5,579.661638,-.771640,-.771638,93.612970,50458058153.437057,-53900712890.541245,1.271640,1.271638,224.810150,224.810920,9.118563,9.118563,.108889,104211287.476422
60,1,5,579.658440,-.768445,-.768440,94.782649,50458058154.606735,-53235543127.460785,1.268445,1.268440,311.058311,311.059881,9.187685,9.187685,.019775,64516466.384290
61,1,5,579.655495,-.765501,-.765495,96.938363,50458058156.762451,-52051691886.486526,1.265501,1.265495,334.091653,334.093426,9.195611,9.195611,-.027123,58173766.718141
62,1,5,579.653372,-.763378,-.763372,98.531534,50458058158.355614,-51210060565.949417,1.263378,1.263372,365.549025,365.550683,9.220805,9.220805,.007940,65067411.290362
63,1,5,579.650825,-.760829,-.760825,100.486434,50458058160.310539,-50213801295.140961,1.260829,1.260825,420.197522,420.198623,9.108299,9.108299,.043895,62971578.276219
64,1,5,579.645977,-.755978,-.755977,101.000994,50458058160.825089,-49957981530.465744,1.255978,1.255977,394.703101,394.702766,9.259009,9.259009,.009238,61346172.374816
65,1,5,579.640431,-.750428,-.750431,100.057320,50458058159.881409,-50429152284.595985,1.250428,1.250431,465.621079,465.619200,9.264455,9.264455,-.015479,50011964.880452
66,1,5,579.634699,-.744693,-.744699,97.527897,50458058157.351997,-51737051520.640816,1.244693,1.244699,564.960808,564.958028,9.213859,9.213859,-.050650,39049194.225212
67,1,5,579.629561,-.739555,-.739561,94.837840,50458058154.661949,-53204562605.458611,1.239555,1.239561,612.076574,612.074117,9.162877,9.162877,-.096634,30925427.824942
68,1,5,579.624528,-.734524,-.734528,92.975554,50458058152.799660,-54270241682.957413,1.234524,1.234528,639.399804,639.398491,9.114012,9.114012,-.164997,25131749.463643
69,1,5,579.621213,-.731212,-.731213,92.591629,50458058152.415718,-54495269576.592163,1.231212,1.231213,638.543535,638.543752,9.070573,9.070573,-.187644,23820684.066171
70,1,5,579.620527,-.730529,-.730527,93.789184,50458058153.613274,-53799442174.755005,1.230529,1.230527,605.020388,605.022010,8.995556,8.995556,-.165919,24132150.081647
71,1,5,579.620243,-.730248,-.730243,96.196154,50458058156.020241,-52453300929.780731,1.230248,1.230243,595.195003,595.197789,8.947923,8.947923,-.178864,22093483.022238
72,1,5,579.620077,-.730083,-.730077,99.714808,50458058159.538902,-50602371775.543198,1.230083,1.230077,583.259456,583.262898,8.868081,8.868081,-.176716,20603005.532988
73,1,5,579.620859,-.730867,-.730859,103.426380,50458058163.250488,-48786449096.016762,1.230867,1.230859,525.961189,525.964612,8.843512,8.843512,-.178199,21547283.177186
