$Lewiston Spillway release year 2017 YC 06/22/22,
293.208,3.0880111
293.25,3.0794645
293.292,3.0709179
293.333,3.159412
293.375,3.1265274
293.417,3.0794645
293.458,3.0794645
293.5,3.032062
293.542,3.032062
293.583,2.9988095
293.625,3.047627
293.667,3.0324016
293.708,3.0794645
293.75,3.3538047
293.792,4.2463018
293.833,4.2286143
293.875,4.2286143
293.917,4.2286143
293.958,4.2286143
294,4.2286143
294.042,4.2286143
294.083,4.2286143
294.125,4.228586
294.167,4.2286143
294.208,4.2286143
294.25,4.2286143
294.292,4.2286143
294.333,4.2286143
294.375,4.1967485
294.417,4.2286143
294.458,4.2286143
294.5,4.1490064
294.542,4.1012643
294.583,4.1012643
294.625,4.1698069
294.667,4.2403305
294.708,4.2286143
294.75,4.2286143
294.792,4.2286143
294.833,4.2286143
294.875,4.3106843
294.917,4.3587943
294.958,4.2537447
295,4.2286143
295.042,4.2286143
295.083,4.1642035
295.125,4.1486385
295.167,4.1012643
295.208,4.1126126
295.25,4.1012643
295.292,4.1012643
295.333,4.0898594
295.375,4.1012643
295.417,4.1012643
295.458,4.1012643
295.5,4.1012643
295.542,4.0195056
295.583,3.971056
295.625,3.9710277
295.667,3.971056
295.708,3.9229177
295.75,3.9554627
295.792,3.9710277
295.833,4.0039406
295.875,4.020581
295.917,4.0683231
295.958,4.101236
296,4.101236
296.042,4.101236
296.083,4.1012077
296.125,4.0900292
296.167,4.0846239
296.208,4.020581
296.25,4.084256
296.292,3.9829986
296.333,4.003601
296.375,4.003601
296.417,3.971056
296.458,3.971056
296.5,3.971056
296.542,3.9710277
296.583,3.9544156
296.625,3.9561702
296.667,3.971056
296.708,3.9710277
296.75,3.9710277
296.792,4.020581
296.833,4.036146
296.875,4.0898594
296.917,4.101236
296.958,4.101236
297,4.1012643
297.042,4.1126126
297.083,4.101236
297.125,4.1012643
297.167,4.0898594
297.208,4.0800959
297.25,4.0569465
297.292,4.0733888
297.333,4.0527864
297.375,4.0361743
297.417,3.9865927
297.458,3.971056
297.5,3.971056
297.542,3.9547835
297.583,3.5715732
297.625,3.4615711
297.667,3.7241668
297.708,4.0913027
297.75,4.1398089
297.792,4.1550343
297.833,4.1865039
297.875,4.2671872
297.917,4.2339064
297.958,4.2391985
298,4.2155114
298.042,4.2823843
298.083,4.2505185
298.125,4.2501789
298.167,4.2508581
298.208,4.2823843
298.25,4.2823843
298.292,4.2823843
298.333,4.2024085
298.375,4.2349535
298.417,4.2024085
298.458,4.1550343
298.5,4.1550343
298.542,4.1875793
298.583,4.4097343
298.625,4.4097343
298.667,4.4097626
298.708,4.4097626
298.75,4.3975087
298.792,4.490078
298.833,4.5497627
298.875,4.5371409
298.917,4.5371409
298.958,5.0887362
299,5.3098724
299.042,5.3100139
