$Trinity Lake updated withdrawals year 2018 YC 08/31/22,,
",,,",,
Jday,Power generation and Jet (cms),Auxiallary (cms)
18.375,0.0283,0.0283
18.417,0.0283,0.0283
18.458,0.0283,0.0283
18.5,0.0283,0.0283
18.542,0.0283,0.0283
18.583,0.0283,0.0283
18.625,2.7738811,0.0283
18.667,51.8125739,0.0283
18.708,53.9473278,0.0283
18.75,54.0764607,0.0283
18.792,54.2354784,0.0283
18.833,53.8908693,0.0283
18.875,51.7320887,0.0283
18.917,2.8573095,0.0283
18.958,0.0283,0.0283
19,0.0283,0.0283
19.042,0.0283,0.0283
19.083,0.0283,0.0283
19.125,0.0283,0.0283
19.167,0.0283,0.0283
19.208,0.0283,0.0283
19.25,0.0283,0.0283
19.292,0.0283,0.0283
19.333,0.0283,0.0283
19.375,0.0283,0.0283
19.417,0.0283,0.0283
19.458,0.0283,0.0283
19.5,0.0283,0.0283
19.542,0.0283,0.0283
19.583,4.1086223,0.0283
19.625,51.6317652,0.0283
19.667,53.9414414,0.0283
19.708,54.1130809,0.0283
19.75,54.0950255,0.0283
19.792,54.0461797,0.0283
19.833,54.0814415,0.0283
19.875,53.8027148,0.0283
19.917,42.2696441,0.0283
19.958,2.6686617,0.0283
20,0.0283,0.0283
20.042,0.0283,0.0283
20.083,0.0283,0.0283
20.125,0.0283,0.0283
20.167,0.0283,0.0283
20.208,0.0283,0.0283
20.25,2.9589631,0.0283
20.292,41.9246388,0.0283
20.333,43.7567525,0.0283
20.375,41.817212,0.0283
20.417,3.0004792,0.0283
20.458,0.0283,0.0283
20.5,0.0283,0.0283
20.542,0.0283,0.0283
20.583,0.0283,0.0283
20.625,0.0283,0.0283
20.667,0.0283,0.0283
20.708,4.2553861,0.0283
20.75,51.6031822,0.0283
20.792,54.1954905,0.0283
20.833,53.910934,0.0283
20.875,51.6898368,0.0283
20.917,3.1557613,0.0283
20.958,0.0283,0.0283
21,0.0283,0.0283
21.042,0.0283,0.0283
21.083,0.0283,0.0283
21.125,0.0283,0.0283
21.167,0.0283,0.0283
21.208,0.0283,0.0283
21.25,0.0283,0.0283
21.292,0.0283,0.0283
21.333,0.0283,0.0283
21.375,0.0283,0.0283
21.417,0.0283,0.0283
21.458,0.0283,0.0283
21.5,0.0283,0.0283
21.542,0.0283,0.0283
21.583,0.0283,0.0283
21.625,0.0283,0.0283
21.667,0.0283,0.0283
21.708,3.1214334,0.0283
21.75,51.9642336,0.0283
21.792,53.8958501,0.0283
21.833,54.1154581,0.0283
21.875,51.4193454,0.0283
21.917,3.7523819,0.0283
21.958,0.0283,0.0283
22,0.0283,0.0283
22.042,0.0283,0.0283
22.083,0.0283,0.0283
22.125,0.0283,0.0283
22.167,0.0283,0.0283
22.208,0.0283,0.0283
22.25,0.0283,0.0283
22.292,0.0283,0.0283
22.333,0.0283,0.0283
22.375,0.0283,0.0283
22.417,0.0283,0.0283
22.458,0.0283,0.0283
22.5,3.089228,0.0283
22.542,51.4910293,0.0283
22.583,54.0324542,0.185931
22.625,53.9852215,0.0283
22.667,54.0559715,0.0283
22.708,54.2692686,0.0283
22.75,54.2821734,0.0283
22.792,54.3189634,0.0283
22.833,54.3372735,0.0283
22.875,53.6957125,0.0283
22.917,42.3293571,0.0283
22.958,2.9424925,0.0283
23,0.0283,0.0283
23.042,0.0283,0.0283
23.083,0.0283,0.0283
23.125,0.0283,0.0283
23.167,0.0283,0.0283
23.208,0.0283,0.0283
23.25,0.0283,0.0283
23.292,0.0283,0.0283
23.333,0.0283,0.0283
23.375,0.0283,0.0283
23.417,0.0283,0.0283
23.458,0.0283,0.0283
23.5,0.0283,0.0283
23.542,0.0283,0.0283
23.583,2.5454718,0.0283
23.625,41.8626901,0.0283
23.667,43.4073607,0.0283
23.708,43.660108,0.0283
23.75,41.6609111,0.0283
23.792,2.9527088,0.0283
23.833,0.0283,0.0283
23.875,0.0283,0.0283
23.917,0.0283,0.0283
23.958,0.0283,0.0283
24,0.0283,0.0283
24.042,0.0283,0.0283
24.083,0.0283,0.0283
24.125,0.0283,0.0283
24.167,0.0283,0.0283
24.208,0.0283,0.0283
24.25,0.0283,0.0283
24.292,0.0283,0.0283
24.333,0.0283,0.0283
24.375,0.0283,0.0283
24.417,0.0283,0.0283
24.458,0.0283,0.0283
24.5,0.0283,0.0283
24.542,0.0283,0.0283
24.583,0.0283,0.0283
24.625,2.6247401,0.0283
24.667,24.0758571,0.0283
24.708,52.2140094,0.0283
24.75,54.1287591,0.0283
24.792,53.9503842,0.0283
24.833,53.7416434,0.0283
24.875,53.9164525,0.0283
24.917,51.3964224,0.0283
24.958,3.1324704,0.0283
25,0.0283,0.0283
25.042,0.0283,0.0283
25.083,0.0283,0.0283
25.125,0.0283,0.0283
25.167,0.0283,0.0283
25.208,0.0283,0.0283
25.25,3.2084559,0.0283
25.292,40.289861,0.0283
25.333,3.76673,0.0283
25.375,0.0283,0.0283
25.417,0.0283,0.0283
25.458,0.0283,0.0283
25.5,0.0283,0.0283
25.542,0.0283,0.0283
25.583,0.3356663,0.0283
25.625,42.3776369,0.0283
25.667,43.9042804,0.0283
25.708,53.4104768,0.0283
25.75,53.8818982,0.0283
25.792,53.8966425,0.0283
25.833,53.9428281,0.0283
25.875,53.8053184,0.0283
25.917,51.3778859,0.0283
25.958,3.0831152,0.0283
26,0.0283,0.0283
26.042,0.0283,0.0283
26.083,0.0283,0.0283
26.125,0.0283,0.0283
26.167,0.0283,0.0283
26.208,0.0283,0.0283
26.25,0.0283,0.0283
26.292,0.0283,0.0283
26.333,0.0283,0.0283
26.375,0.0283,0.0283
26.417,0.0283,0.0283
26.458,0.0283,0.0283
26.5,0.0283,0.0283
26.542,0.0283,0.0283
26.583,29.0639868,0.0283
26.625,53.8743421,0.0283
26.667,53.7775278,0.0283
26.708,53.8923409,0.0283
26.75,53.9635437,0.0283
26.792,53.8235153,0.0283
26.833,54.0647728,0.0283
26.875,53.8967557,0.0283
26.917,51.5332812,0.0283
26.958,3.341947,0.0283
27,0.0283,0.0283
27.042,0.0283,0.0283
27.083,0.0283,0.0283
27.125,0.0283,0.0283
27.167,0.0283,0.0283
27.208,0.0283,0.0283
27.25,0.0283,0.0283
27.292,0.0283,0.0283
27.333,0.0283,0.0283
27.375,0.0283,0.0283
27.417,0.0283,0.0283
27.458,0.0283,0.0283
27.5,0.0283,0.0283
27.542,0.0283,0.0283
27.583,0.0283,0.0283
27.625,0.0283,0.0283
27.667,3.008007,0.0283
27.708,51.4325049,0.0283
27.75,54.0245585,0.0283
27.792,54.0289733,0.0283
27.833,54.1249669,0.0283
27.875,54.0160402,0.0283
27.917,53.6725065,0.0283
27.958,42.9806533,0.0283
28,23.7334837,0.0283
28.042,2.494079,0.0283
28.083,0.0283,0.0283
28.125,0.0283,0.0283
28.167,0.0283,0.0283
28.208,0.0283,0.0283
28.25,0.0283,0.0283
28.292,0.0283,0.0283
28.333,0.0283,0.0283
28.375,0.0283,0.0283
28.417,0.0283,0.0283
28.458,0.0283,0.0283
28.5,0.0283,0.0283
28.542,0.0283,0.0283
28.583,0.0283,0.0283
28.625,0.0283,0.0283
28.667,0.0283,0.0283
28.708,0.0283,0.0283
28.75,0.0283,0.0283
28.792,0.0283,0.0283
28.833,26.4923658,0.0283
28.875,53.9104812,0.0283
28.917,45.1481786,0.0283
28.958,49.8470257,0.0283
29,40.301747,0.0283
29.042,26.2280155,0.0283
29.083,34.9456324,0.0283
29.125,32.318883,0.0283
29.167,2.9319932,0.0283
29.208,0.0283,0.0283
29.25,0.0283,0.0283
29.292,0.0283,0.0283
29.333,0.0283,0.0283
29.375,0.0283,0.0283
29.417,0.0283,0.0283
29.458,0.0283,0.0283
29.5,0.0283,0.0283
29.542,0.0283,0.0283
29.583,0.0283,0.0283
29.625,0.0283,0.0283
29.667,0.0283,0.0283
29.708,0.0283,0.0283
29.75,0.0283,0.0283
29.792,0.0283,0.0283
29.833,0.0283,0.0283
29.875,0.0283,0.0283
29.917,0.0283,0.0283
29.958,0.0283,0.0283
30,0.0283,0.0283
30.042,0.0283,0.0283
30.083,0.0283,0.0283
30.125,0.0283,0.0283
30.167,0.0283,0.0283
30.208,0.0283,0.0283
30.25,0.0283,0.0283
