$Trinity Lake Br3 inflow updated YC 06/01/23,
",,,",
Jday,USBR TL Inflow (QI)
6.417,3.029873991
6.458,3.029873991
6.5,3.029873991
6.542,3.029873991
6.583,3.029873991
6.625,3.029873991
6.667,3.029873991
6.708,3.029873991
6.75,3.029873991
6.792,3.029873991
6.833,3.029873991
6.875,3.029873991
6.917,3.029873991
6.958,3.029873991
7,3.936004531
7.042,3.936004531
7.083,3.936004531
7.125,3.936004531
7.167,3.936004531
7.208,3.936004531
7.25,3.936004531
7.292,3.936004531
7.333,3.936004531
7.375,3.936004531
7.417,3.936004531
7.458,3.936004531
7.5,3.936004531
7.542,3.936004531
7.583,3.936004531
7.625,3.936004531
7.667,3.936004531
7.708,3.936004531
7.75,3.936004531
7.792,3.936004531
7.833,3.936004531
7.875,3.936004531
7.917,3.936004531
7.958,3.936004531
8,8.041908537
8.042,8.041908537
8.083,8.041908537
8.125,8.041908537
8.167,8.041908537
8.208,8.041908537
8.25,8.041908537
8.292,8.041908537
8.333,8.041908537
8.375,8.041908537
8.417,8.041908537
8.458,8.041908537
8.5,8.041908537
8.542,8.041908537
8.583,8.041908537
8.625,8.041908537
8.667,8.041908537
8.708,8.041908537
8.75,8.041908537
8.792,8.041908537
8.833,8.041908537
8.875,8.041908537
8.917,8.041908537
8.958,8.041908537
9,5.012034546
9.042,5.012034546
9.083,5.012034546
9.125,5.012034546
9.167,5.012034546
9.208,5.012034546
9.25,5.012034546
9.292,5.012034546
9.333,5.012034546
9.375,5.012034546
9.417,5.012034546
9.458,5.012034546
9.5,5.012034546
9.542,5.012034546
9.583,5.012034546
9.625,5.012034546
9.667,5.012034546
9.708,5.012034546
9.75,5.012034546
9.792,5.012034546
9.833,5.012034546
9.875,5.012034546
9.917,5.012034546
9.958,5.012034546
10,3.936004531
10.042,3.936004531
10.083,3.936004531
10.125,3.936004531
10.167,3.936004531
10.208,3.936004531
10.25,3.936004531
10.292,3.936004531
10.333,3.936004531
10.375,3.936004531
10.417,3.936004531
10.458,3.936004531
10.5,3.936004531
10.542,3.936004531
10.583,3.936004531
10.625,3.936004531
10.667,3.936004531
10.708,3.936004531
10.75,3.936004531
10.792,3.936004531
10.833,3.936004531
10.875,3.936004531
10.917,3.936004531
10.958,3.936004531
11,3.171456888
11.042,3.171456888
11.083,3.171456888
11.125,3.171456888
11.167,3.171456888
11.208,3.171456888
11.25,3.171456888
11.292,3.171456888
11.333,3.171456888
11.375,3.171456888
11.417,3.171456888
11.458,3.171456888
11.5,3.171456888
11.542,3.171456888
11.583,3.171456888
11.625,3.171456888
11.667,3.171456888
11.708,3.171456888
11.75,3.171456888
11.792,3.171456888
11.833,3.171456888
11.875,3.171456888
11.917,3.171456888
11.958,3.171456888
12,2.916607674
12.042,2.916607674
12.083,2.916607674
12.125,2.916607674
12.167,2.916607674
12.208,2.916607674
12.25,2.916607674
12.292,2.916607674
12.333,2.916607674
12.375,2.916607674
12.417,2.916607674
12.458,2.916607674
12.5,2.916607674
12.542,2.916607674
12.583,2.916607674
12.625,2.916607674
12.667,2.916607674
12.708,2.916607674
12.75,2.916607674
12.792,2.916607674
12.833,2.916607674
12.875,2.916607674
12.917,2.916607674
12.958,2.916607674
13,2.237009769
13.042,2.237009769
13.083,2.237009769
13.125,2.237009769
13.167,2.237009769
13.208,2.237009769
13.25,2.237009769
13.292,2.237009769
13.333,2.237009769
13.375,2.237009769
13.417,2.237009769
13.458,2.237009769
13.5,2.237009769
13.542,2.237009769
13.583,2.237009769
13.625,2.237009769
13.667,2.237009769
13.708,2.237009769
13.75,2.237009769
13.792,2.237009769
13.833,2.237009769
13.875,2.237009769
13.917,2.237009769
13.958,2.237009769
14,2.20869319
14.042,2.20869319
14.083,2.20869319
14.125,2.20869319
14.167,2.20869319
14.208,2.20869319
14.25,2.20869319
14.292,2.20869319
14.333,2.20869319
14.375,2.20869319
14.417,2.20869319
14.458,2.20869319
14.5,2.20869319
14.542,2.20869319
14.583,2.20869319
14.625,2.20869319
14.667,2.20869319
14.708,2.20869319
14.75,2.20869319
14.792,2.20869319
14.833,2.20869319
14.875,2.20869319
14.917,2.20869319
14.958,2.20869319
15,3.369672944
15.042,3.369672944
15.083,3.369672944
15.125,3.369672944
15.167,3.369672944
15.208,3.369672944
15.25,3.369672944
15.292,3.369672944
15.333,3.369672944
15.375,3.369672944
15.417,3.369672944
15.458,3.369672944
15.5,3.369672944
15.542,3.369672944
15.583,3.369672944
15.625,3.369672944
15.667,3.369672944
15.708,3.369672944
15.75,3.369672944
15.792,3.369672944
15.833,3.369672944
15.875,3.369672944
15.917,3.369672944
15.958,3.369672944
16,2.321959507
16.042,2.321959507
16.083,2.321959507
16.125,2.321959507
16.167,2.321959507
16.208,2.321959507
16.25,2.321959507
16.292,2.321959507
16.333,2.321959507
16.375,2.321959507
16.417,2.321959507
16.458,2.321959507
16.5,2.321959507
16.542,2.321959507
16.583,2.321959507
16.625,2.321959507
16.667,2.321959507
16.708,2.321959507
16.75,2.321959507
16.792,2.321959507
16.833,2.321959507
16.875,2.321959507
16.917,2.321959507
16.958,2.321959507
17,2.067110293
17.042,2.067110293
17.083,2.067110293
17.125,2.067110293
17.167,2.067110293
17.208,2.067110293
17.25,2.067110293
17.292,2.067110293
17.333,2.067110293
17.375,2.067110293
17.417,2.067110293
17.458,2.067110293
17.5,2.067110293
17.542,2.067110293
17.583,2.067110293
17.625,2.067110293
17.667,2.067110293
17.708,2.067110293
17.75,2.067110293
17.792,2.067110293
17.833,2.067110293
17.875,2.067110293
17.917,2.067110293
17.958,2.067110293
