$Trinity Lake qdt year 2018 YC 08/26/22,
",,,",
JDAY,qdt
22.708,13.94057327
22.75,3.861573271
22.792,52.60957327
22.833,19.79357327
22.875,71.86857327
22.917,-2.770426729
22.958,-0.512426729
23,-0.114074007
23.042,-0.114074007
23.083,-0.114074007
23.125,-0.114074007
23.167,46.73692599
23.208,-0.114074007
23.25,-98.53507401
23.292,-0.114074007
23.333,28.71192599
23.375,28.34892599
23.417,-0.114074007
23.458,-0.114074007
23.5,-0.114074007
23.542,-0.114074007
23.583,-1.526074007
23.625,-13.30607401
23.667,-0.114074007
23.708,-0.114074007
23.75,-0.114074007
23.792,-0.114074007
23.833,-0.114074007
23.875,-0.114074007
23.917,-0.114074007
23.958,0.549925993
24,-0.578095267
24.042,-41.31309527
24.083,-0.578095267
24.125,-0.578095267
24.167,-44.45809527
24.208,-0.578095267
24.25,-75.21709527
24.292,-9.326095267
24.333,15.27990473
24.375,-0.578095267
24.417,9.022904733
24.458,-0.578095267
24.5,70.01990473
24.542,143.3379047
24.583,-0.578095267
24.625,-32.58009527
24.667,-67.91709527
24.708,-0.578095267
24.75,3.536904733
24.792,14.30690473
24.833,-17.07909527
24.875,-71.60409527
24.917,-0.578095267
24.958,38.79190473
25,3.059899567
25.042,-0.397100433
25.083,-45.34910043
25.125,-8.26810043
25.167,29.44389957
25.208,80.79789957
25.25,-0.397100433
25.292,0.632899567
25.333,15.91989957
25.375,16.39289957
25.417,-0.397100433
25.458,-0.397100433
25.5,-0.397100433
25.542,-0.397100433
25.583,-0.397100433
25.625,-0.397100433
25.667,-27.15610043
25.708,-54.38010043
25.75,-0.397100433
25.792,3.129899567
25.833,14.32789957
25.875,-0.397100433
25.917,-0.397100433
25.958,-0.397100433
26,4.998821929
26.042,21.44082193
26.083,0.637821929
26.125,0.637821929
26.167,0.637821929
26.208,0.637821929
26.25,-23.27017807
26.292,-45.00617807
26.333,0.637821929
26.375,14.42782193
26.417,0.637821929
26.458,0.637821929
26.5,1.651821929
26.542,-0.753178071
26.583,-1.532178071
26.625,0.637821929
26.667,0.637821929
26.708,-13.93617807
26.75,0.637821929
26.792,15.52282193
26.833,0.637821929
26.875,-39.94817807
26.917,0.637821929
26.958,42.33082193
27,14.46568062
27.042,-2.183319378
27.083,-31.56131938
27.125,-2.183319378
27.167,-1.266319378
27.208,43.20168062
27.25,-2.183319378
27.292,-16.29231938
27.333,-2.183319378
27.375,-2.183319378
27.417,-1.456319378
27.458,-2.183319378
27.5,-2.183319378
27.542,-2.183319378
27.583,-2.582319378
27.625,-47.15131938
27.667,-4.793319378
27.708,-25.75831938
27.75,-2.183319378
27.792,-4.935319378
27.833,-21.04531938
27.875,-2.183319378
27.917,2.331680622
27.958,41.82668062
28,-0.670871597
28.042,-0.670871597
28.083,40.1971284
28.125,-0.670871597
28.167,-0.670871597
28.208,-10.8178716
28.25,-21.0728716
28.292,-0.670871597
28.333,2.646128403
28.375,-0.670871597
28.417,-55.5308716
28.458,-0.670871597
28.5,-0.670871597
28.542,-0.670871597
28.583,-0.670871597
28.625,13.5861284
28.667,29.2411284
28.708,-0.670871597
28.75,-0.670871597
28.792,-1.321871597
28.833,-0.670871597
28.875,-0.670871597
28.917,-0.670871597
28.958,26.1881284
29,-8.438800274
29.042,1.155199726
29.083,1.155199726
29.125,3.032199726
29.167,1.155199726
29.208,0.835199726
29.25,-25.04680027
29.292,1.155199726
29.333,34.17219973
29.375,1.155199726
29.417,1.155199726
29.458,1.155199726
29.5,1.155199726
29.542,-26.17580027
29.583,1.155199726
29.625,14.24119973
29.667,31.25019973
29.708,1.155199726
29.75,-26.38080027
29.792,1.155199726
29.833,45.71619973
29.875,16.11119973
29.917,1.155199726
29.958,-43.56680027
30,-0.109060557
30.042,-0.109060557
30.083,-0.109060557
30.125,-0.109060557
30.167,-0.109060557
30.208,-0.109060557
30.25,-0.109060557
30.292,15.69593944
30.333,-0.109060557
30.375,-17.13506056
30.417,-43.91906056
30.458,-0.109060557
30.5,1.75193944
30.542,-3.636060557
30.583,-38.98506056
30.625,-3.566060557
30.667,-0.109060557
30.708,30.38893944
30.75,-0.109060557
30.792,-17.17706056
30.833,-0.109060557
30.875,-0.109060557
30.917,-0.109060557
30.958,-0.109060557
31,-0.999315643
31.042,-0.999315643
31.083,-0.999315643
31.125,29.84568436
31.167,-0.999315643
31.208,-16.05731564
31.25,-0.999315643
31.292,-1.916315643
31.333,-0.999315643
31.375,-2.601315643
31.417,-0.999315643
31.458,-0.999315643
31.5,-0.999315643
31.542,11.21468436
31.583,-0.999315643
31.625,-0.999315643
31.667,-0.999315643
31.708,-2.538315643
31.75,-37.54731564
31.792,-4.385315643
31.833,-0.999315643
31.875,-31.61131564
31.917,-0.999315643
31.958,58.31768436
32,9.095551203
32.042,-4.096448797
32.083,1.194551203
32.125,3.308551203
32.167,0.286551203
32.208,-29.8074488
32.25,1.194551203
32.292,1.194551203
32.333,1.194551203
32.375,1.194551203
32.417,-13.4174488
32.458,1.194551203
32.5,1.194551203
32.542,1.194551203
32.583,1.816551203
32.625,1.194551203
32.667,-17.8224488
32.708,1.194551203
32.75,1.194551203
32.792,-3.614448797
32.833,-21.3104488
32.875,1.194551203
32.917,16.1505512
32.958,67.9345512
33,0.713823744
33.042,-14.17117626
33.083,0.713823744
33.125,0.713823744
33.167,0.713823744
33.208,-53.80517626
33.25,-30.89117626
33.292,0.713823744
33.333,-25.71917626
33.375,0.713823744
33.417,17.36282374
33.458,4.254823744
33.5,47.34582374
33.542,24.34782374
33.583,13.36082374
33.625,27.87482374
33.667,-1.967176256
33.708,-56.93917626
33.75,0.713823744
33.792,-22.99017626
33.833,0.713823744
33.875,0.713823744
33.917,16.27582374
33.958,25.81682374
34,20.44660113
34.042,-3.257398872
34.083,-3.257398872
34.125,-3.257398872
34.167,-28.72139887
34.208,-3.257398872
34.25,-44.97939887
34.292,-3.257398872
34.333,-2.005398872
34.375,-3.257398872
34.417,-64.28939887
34.458,-3.257398872
34.5,9.778601128
34.542,22.07260113
