$Lewiston qdt year 2018 YC 06/23/22 modified from old qdt,
",,,",
JDAY,qdt
23.500,0.901348467
23.542,0.892462300
23.583,30.473102330
23.625,-8.553707730
23.667,0.102827400
23.708,-5.920207330
23.750,-23.239798670
23.792,2.697391530
23.833,1.550396230
23.875,-2.962614633
23.917,-1.713620833
23.958,1.839464700
24.000,-1.084979033
24.042,4.390758800
24.083,-0.376432633
24.125,-0.843393633
24.167,2.037588000
24.208,0.012033767
24.250,3.507965100
24.292,-7.845956033
24.333,10.280168830
24.375,1.053735667
24.417,3.366298400
24.458,3.976043433
24.500,-6.029327533
24.542,6.972752133
24.583,0.739388000
24.625,20.203397670
24.667,4.778238030
24.708,-4.545351600
24.750,-18.096190830
24.792,-2.829752033
24.833,-6.907701033
24.875,1.712515033
24.917,-9.844342333
24.958,12.931627930
25.000,-5.163986100
25.042,-9.600088167
25.083,-4.893375500
25.125,1.944780667
25.167,2.192258000
25.208,0.965662700
25.250,29.407328330
25.292,-26.445734130
25.333,-1.660510600
25.375,-1.570495033
25.417,0.599221967
25.458,-0.760344800
25.500,1.579617400
25.542,0.353316367
25.583,32.488146000
25.625,-16.560915770
25.667,11.383277230
25.708,-8.102709330
25.750,-24.404620070
25.792,7.372555833
25.833,-16.135333730
25.875,3.909729133
25.917,-12.007560170
25.958,5.820496567
26.000,3.206648067
26.042,-8.945727967
26.083,-3.496490800
26.125,2.066697800
26.167,1.217131167
26.208,0.017205167
26.250,0.174166967
26.292,1.530216700
26.333,-0.338467633
26.375,3.491007600
26.417,-0.915887733
26.458,0.678821567
26.500,2.261414700
26.542,4.101157833
26.583,20.994060100
26.625,0.105380770
26.667,4.900371733
26.708,-35.438610730
26.750,1.384944633
26.792,-10.948412130
26.833,-3.592612433
26.875,3.635970833
26.917,-15.659085000
26.958,8.148673700
27.000,1.863764667
27.042,-3.913474867
27.083,-4.910452600
27.125,3.145547800
27.167,2.887547800
27.208,3.430662000
27.250,0.347743267
27.292,-1.834047133
27.333,4.623161533
27.375,-0.383047133
27.417,0.376576067
27.458,2.407662400
27.500,2.871473400
27.542,-0.167366233
27.583,-1.409959533
27.625,2.040821800
27.667,25.953190800
27.708,-23.679225500
27.750,-2.954997233
27.792,-2.687935233
27.833,-2.336554033
27.875,0.247673300
27.917,23.368219870
27.958,-11.216338630
28.000,-24.271009900
28.042,2.928149233
28.083,3.230662000
28.125,-1.464047133
28.167,-1.636214733
28.208,-0.606235333
28.250,2.164395600
28.292,0.236785267
28.333,-0.345235333
28.375,2.715705800
28.417,1.979010000
28.458,-0.426771333
28.500,-0.559959533
28.542,2.522857800
28.583,0.435833067
28.625,1.622431800
28.667,0.233520467
28.708,1.940187600
28.750,-0.149224833
28.792,4.499337833
28.833,11.340351770
28.875,4.199888730
28.917,5.952447200
28.958,-3.802211700
29.000,-11.171368170
29.042,5.851046533
29.083,-2.564292767
29.125,-34.820013330
29.167,7.667752670
29.208,1.642414467
29.250,-3.918215833
29.292,-0.628694900
29.333,-3.186697567
29.375,5.438295833
29.417,-0.535486133
29.458,0.259155267
29.500,0.164270467
29.542,-0.347423533
29.583,2.446435600
29.625,-1.399047133
29.667,2.545473800
29.708,1.581576467
29.750,-3.570737100
29.792,4.977417000
29.833,-0.487227633
29.875,-0.354585533
29.917,2.416675700
29.958,0.106934567
30.000,2.892157600
30.042,-3.328846367
30.083,2.266819400
30.125,3.969008200
30.167,-0.695776133
30.208,0.438783367
30.250,-0.945234833
30.292,2.480746200
30.333,-0.162771533
30.375,0.774043267
30.417,-0.416919933
30.458,2.263704900
30.500,8.760557900
30.542,25.673079600
30.583,20.896224470
30.625,8.725851400
30.667,14.130071430
30.708,-34.191581230
30.750,-7.037443070
30.792,-2.314107733
30.833,3.211090000
30.875,-3.471851767
30.917,2.145415900
30.958,-1.384556433
31.000,-0.719772333
31.042,-1.590016100
31.083,-0.366084233
31.125,-0.565914833
31.167,0.828160967
31.208,2.327517300
31.250,0.148036133
31.292,-0.316833067
31.333,0.838077133
31.375,4.354301400
31.417,-2.571856567
31.458,2.756075500
31.500,-0.314583133
31.542,3.804264700
31.583,-5.798433533
31.625,-20.120517130
31.667,43.713142200
31.708,-7.929021500
31.750,25.340109370
31.792,10.410793230
31.833,13.054701070
31.875,23.826479100
31.917,10.823189000
31.958,-10.531155100
32.000,-5.161556270
32.042,-5.719869767
32.083,-2.056489300
32.125,-9.413907967
32.167,2.848179600
32.208,-0.010084233
32.250,0.838801167
32.292,1.819991400
32.333,0.049708567
32.375,2.953991400
32.417,-2.634210367
32.458,2.245293800
32.500,5.203722933
32.542,0.480363267
32.583,2.740502000
32.625,0.705175967
32.667,-3.480996767
32.708,2.087659333
32.750,4.019289833
32.792,-3.239308033
32.833,1.352271300
32.875,-1.711356367
32.917,-6.541201000
32.958,3.765746233
33.000,4.753903667
33.042,-10.644635270
33.083,2.915211800
33.125,2.173791100
33.167,-0.641243733
33.208,-1.165736733
33.250,31.737767300
33.292,-15.114990370
33.333,11.529042500
33.375,-2.288252367
33.417,-41.626558000
33.458,8.539083070
33.500,-3.884896667
33.542,-6.521970833
33.583,-0.247544900
33.625,0.326238567
33.667,-4.939381800
33.708,19.415520400
33.750,-7.082146800
33.792,11.011128230
33.833,-24.113382900
33.875,3.196716300
33.917,4.071017300
33.958,-5.022964967
34.000,-3.798594800
34.042,0.182745167
34.083,2.306530700
34.125,2.106744367
34.167,3.462716500
34.208,-3.746867567
34.250,-0.418081733
34.292,6.044331333
34.333,-0.840015433
34.375,-2.783372067
34.417,5.356936333
34.458,-1.908126867
34.500,-0.843696933
34.542,6.322469733
34.583,0.506633367
34.625,-1.025437033
34.667,24.038215000
34.708,-8.455455600
34.750,-34.042929100
34.792,10.259871170
34.833,-1.147147233
34.875,3.759077633
34.917,23.024541370
34.958,-14.666222230
35.000,-41.786166900
35.042,14.651568570
35.083,5.025781767
35.125,-3.082057933
35.167,-4.994001133
35.208,-0.704124833
35.250,2.568925300
35.292,0.292470467
35.333,-0.234313433
35.375,0.280394467
35.417,-0.251965033
35.458,2.972934700
35.500,-0.880625933
35.542,3.429902700
35.583,2.882819800
35.625,-0.942404833
35.667,26.244343600
35.708,-12.475286370
35.750,-13.827296870
35.792,4.161270933
35.833,-10.722497130
35.875,4.656944533
35.917,-10.337032930
35.958,3.409711733
36.000,2.075470467
36.042,-4.230124833
36.083,-4.898953267
36.125,5.106468833
36.167,0.891671867
36.208,2.654914333
36.250,-11.991207270
36.292,6.699009567
36.333,1.632891800
36.375,3.899753300
36.417,-4.710438700
36.458,-6.763573933
36.500,8.702546467
36.542,4.216264700
36.583,1.395704000
36.625,0.077351000
36.667,33.147518670
36.708,-11.108256870
36.750,-17.156836400
36.792,2.377939433
36.833,-5.246979467
36.875,28.032231630
36.917,-15.676024930
36.958,5.077631567
37.000,-40.338202400
37.042,13.711338370
37.083,-5.219501233
37.125,-3.951311033
37.167,-4.644980533
37.208,2.790679100
37.250,0.262632767
37.292,-1.145576233
37.333,2.219888100
37.375,-0.167697333
37.417,1.892379500
37.458,0.070375567
37.500,3.303649900
37.542,3.359286800
37.583,0.128198200
37.625,31.688871530
37.667,-7.579101700
37.708,0.965671400
37.750,-25.554304930
37.792,5.087541333
37.833,-11.244754930
37.875,1.233780233
37.917,23.124149700
37.958,-17.202294970
38.000,-41.716011130
38.042,12.889248330
38.083,11.983236330
38.125,-4.026048567
38.167,-8.005142933
38.208,0.719631467
38.250,1.058917300
38.292,2.106181100
38.333,3.159920100
38.375,0.423213167
38.417,3.264063000
38.458,0.261638267
38.500,2.339831500
38.542,-0.978952833
38.583,4.179379700
38.625,-0.168189633
38.667,3.322773000
38.708,1.684179700
38.750,-5.616654467
38.792,9.069810400
38.833,-0.571116233
38.875,17.418482730
38.917,-26.509055530
38.958,6.862001133
39.000,4.979282067
39.042,-1.065987633
39.083,-4.581539233
39.125,5.961699333
39.167,-0.682472933
39.208,1.306389567
39.250,2.372291300
39.292,-1.274187233
39.333,2.619404700
39.375,0.568369867
39.417,2.258668900
39.458,2.304680200
39.500,4.126627833
39.542,31.668883100
39.583,-6.089662730
39.625,4.026494767
39.667,-8.372685033
39.708,-25.096260230
39.750,4.260378733
