$Lewiston qdt year 2017 YC 06/22/22,
19.917,0.187651900
19.958,2.171170400
20.000,-13.231251800
20.042,7.064792433
20.083,3.784435067
20.125,2.144939967
20.167,3.256027933
20.208,4.053395233
20.250,6.613632367
20.292,3.372217767
20.333,4.540432633
20.375,2.797572700
20.417,3.192432633
20.458,4.832799933
20.500,5.176196300
20.542,4.569579967
20.583,1.292906533
20.625,10.925248300
20.667,8.315522167
20.708,-12.437172500
20.750,1.196022100
20.792,0.067091100
20.833,-3.376078833
20.875,-6.048971633
20.917,-0.771905500
20.958,1.991621200
21.000,-12.801705000
21.042,7.906619233
21.083,4.023027767
21.125,1.043611500
21.167,-2.870136033
21.208,2.851235900
21.250,6.655244033
21.292,7.418369767
21.333,-1.121861933
21.375,4.633651533
21.417,2.239160700
21.458,2.507386500
21.500,0.882724700
21.542,4.369713433
21.583,3.529828400
21.625,5.384020433
21.667,-1.145869800
21.708,19.662029800
21.750,-5.159821333
21.792,0.861317267
21.833,11.570897200
21.875,-13.615248800
21.917,-2.621523833
21.958,-0.058537000
22.000,8.977429630
22.042,-4.315764733
22.083,4.180294533
22.125,-0.108245633
22.167,-1.320557733
22.208,-12.337759300
22.250,-9.328760570
22.292,5.679558467
22.333,0.136044900
22.375,-2.227757000
22.417,-0.628032133
22.458,7.842018633
22.500,2.945536100
22.542,2.575685100
22.583,0.077042667
22.625,4.930394633
22.667,-1.031182133
22.708,4.811140333
22.750,-0.096069733
22.792,-0.913957333
22.833,6.086320033
22.875,2.480723700
22.917,-0.786843333
22.958,4.258686133
23.000,0.939781667
23.042,1.742220800
23.083,3.190055200
23.125,-0.330393133
23.167,-0.723843533
23.208,5.421864433
23.250,2.769940000
23.292,-0.814023833
23.333,2.949639200
23.375,1.513197100
23.417,1.605018400
23.458,0.120248467
23.500,1.802640767
23.542,1.213417600
23.583,-0.064447800
23.625,1.966816733
23.667,9.949531233
23.708,29.620625100
23.750,-16.111668170
23.792,15.178769400
23.833,2.394980767
23.875,-38.718418600
23.917,18.001686200
23.958,-3.170023800
24.000,-5.368493000
24.042,-4.774950233
24.083,5.484394433
24.125,5.576770033
24.167,5.160495500
24.208,1.783280600
24.250,1.825685300
24.292,1.117573500
24.333,5.399582633
24.375,3.401092600
24.417,1.911356000
24.458,-0.745175833
24.500,2.080835300
24.542,5.142356033
24.583,0.516504767
24.625,-0.948863733
24.667,3.559550100
24.708,38.102888030
24.750,-11.987049430
24.792,4.255858500
24.833,8.763606900
24.875,-40.558986730
24.917,15.823271870
24.958,-7.532647400
25.000,-11.557555670
25.042,-0.528750733
25.083,10.677655730
25.125,3.247067200
25.167,3.244854500
25.208,-0.837515833
25.250,0.181940367
25.292,2.088049100
25.333,2.609676200
25.375,2.006221567
25.417,2.080835300
25.458,0.720683067
25.500,2.111015600
25.542,3.295818900
25.583,-0.767985633
25.625,2.434145000
25.667,2.152293400
25.708,38.312240630
25.750,-4.568311970
25.792,4.767159233
25.833,-39.518774600
25.875,16.365704970
25.917,-2.781277200
25.958,-9.812403767
26.000,-2.061314200
26.042,1.528169867
26.083,6.654755333
26.125,2.267870167
26.167,1.955960900
26.208,-0.121851733
26.250,1.413064000
26.292,2.534336700
26.333,-3.114831467
26.375,1.673750500
26.417,6.071040000
26.458,2.046447467
26.500,4.491993233
26.542,-0.312703433
26.583,2.511043500
26.625,0.940447367
26.667,2.002093600
26.708,35.421304200
26.750,-14.534242470
26.792,12.440487830
26.833,4.748310700
26.875,-39.604178170
26.917,16.715990500
26.958,-8.390995900
27.000,-13.976743700
27.042,4.690315600
27.083,4.402563000
27.125,6.224371800
27.167,-0.517946633
27.208,-1.870541933
27.250,11.504704970
27.292,-1.591860667
27.333,1.840101900
27.375,-0.000750133
27.417,0.833171800
27.458,0.544472733
27.500,-2.890691900
27.542,-5.812577833
27.583,1.126464100
27.625,-11.155012470
27.667,-0.681550733
27.708,-14.905460000
27.750,5.703591833
27.792,2.914101300
27.833,-3.364795233
27.875,0.062426667
27.917,3.194336800
27.958,3.746136600
28.000,2.532351567
28.042,-1.352112733
28.083,3.046125200
28.125,2.433710500
28.167,0.486491067
28.208,3.106466600
28.250,0.406695367
28.292,9.702568467
28.333,16.087705270
28.375,1.475636067
28.417,12.108749330
28.458,-3.337735233
28.500,-41.712044270
28.542,15.588311600
28.583,-7.769888633
28.625,-4.886149833
28.667,0.989744667
28.708,5.211001833
28.750,0.080525567
28.792,6.780922600
28.833,1.784213467
28.875,2.727651700
28.917,0.335807167
28.958,2.104384300
29.000,3.263104300
29.042,-0.311440733
29.083,6.385575300
29.125,3.274131000
29.167,2.400814400
29.208,-2.488641067
29.250,2.657592700
29.292,3.362522100
29.333,1.492707467
29.375,6.724029133
29.417,2.947710300
29.458,1.735936200
29.500,4.303067233
29.542,1.684651800
29.583,1.600573300
29.625,2.795978400
29.667,-1.638465633
29.708,36.690629530
29.750,-7.395529470
29.792,6.771452167
29.833,0.206046967
29.875,-28.404229670
29.917,4.568680600
29.958,-20.152623000
30.000,-0.716499100
30.042,1.741553300
30.083,-1.102400633
30.125,-1.044735833
30.167,3.078131400
30.208,3.631594500
30.250,1.565020767
30.292,-0.185370467
30.333,4.332682700
30.375,-0.485369733
30.417,2.104050100
30.458,3.489527800
30.500,3.141945600
30.542,1.690978000
30.583,0.745954167
30.625,1.719612000
30.667,0.471678100
30.708,24.210999270
30.750,7.263920030
30.792,11.755364970
30.833,0.511235500
30.875,-40.182348870
30.917,4.522163030
30.958,-4.905745500
31.000,-5.312781333
31.042,2.541151800
31.083,6.093501500
31.125,2.451754200
31.167,-0.430559333
31.208,3.433161700
31.250,1.639720400
31.292,-2.363000633
31.333,3.149197500
31.375,3.652895100
31.417,-0.021954933
31.458,2.115025000
31.500,3.429585700
31.542,0.900387600
31.583,1.804064000
31.625,1.264206667
31.667,2.439102633
31.708,29.175037370
31.750,-11.942420430
31.792,16.203075670
31.833,1.656441767
31.875,-20.999619570
31.917,-12.696347800
31.958,5.845498370
32.000,-7.480669133
32.042,0.316301767
32.083,2.315634267
32.125,5.162399033
32.167,1.244368667
32.208,1.451160900
32.250,1.153669667
32.292,0.048717800
32.333,2.956207100
32.375,4.324988800
32.417,2.709697100
32.458,-5.254469567
32.500,37.266196770
32.542,-12.777780070
32.583,10.136113430
32.625,-4.883514167
32.667,-1.755286833
32.708,-16.618241870
32.750,-2.841065300
32.792,4.960236600
32.833,-36.737759630
32.875,33.733291100
32.917,14.441653300
32.958,-1.605008567
33.000,0.600134300
33.042,5.222214700
33.083,4.719417233
33.125,1.474706500
33.167,0.627102700
33.208,3.816273533
33.250,-1.379175667
33.292,2.897129800
33.333,4.631784367
33.375,9.213769300
33.417,11.617592130
33.458,4.274116170
33.500,-0.895858700
33.542,24.817170670
33.583,15.745989530
33.625,5.252839470
33.667,7.703767467
33.708,-23.729638470
33.750,13.115650970
33.792,-7.212222533
33.833,6.546720700
33.875,-26.743018200
33.917,30.210167600
33.958,11.067722670
34.000,-1.092209000
34.042,3.800982633
34.083,5.064529633
34.125,10.138490670
34.167,4.255199133
34.208,5.531417033
34.250,1.601263600
34.292,4.244869633
34.333,2.299301800
34.375,5.512363833
34.417,3.297744367
34.458,5.211783500
34.500,4.776560900
34.542,4.672005500
34.583,4.400042267
34.625,3.761714400
34.667,34.358166170
34.708,-19.612142570
34.750,1.762035700
34.792,8.359385870
34.833,29.805745700
34.875,-11.783470500
34.917,-38.083338300
34.958,15.462688500
35.000,9.110873133
35.042,0.984137267
35.083,1.565038333
35.125,3.343703733
35.167,1.543837100
35.208,6.585913133
35.250,1.789705267
35.292,4.028010133
35.333,5.331604033
35.375,3.259114400
35.417,-1.101123933
35.458,1.494461733
35.500,3.009376400
35.542,6.707560067
35.583,-0.161664033
35.625,7.885520533
35.667,-5.021253700
35.708,13.141302000
35.750,3.975880767
35.792,2.719439433
35.833,-0.016988767
35.875,8.297402430
35.917,25.675094770
35.958,-33.238045970
36.000,7.430585300
36.042,2.910044900
36.083,-1.263736233
36.125,-1.333544567
36.167,3.337114000
36.208,10.009784330
36.250,-0.307849833
36.292,0.730970700
36.333,0.294215667
36.375,-4.061758633
36.417,1.149793600
36.458,5.632151533
36.500,11.776425130
36.542,7.008423233
36.583,-1.153866333
36.625,6.872295733
36.667,2.408695100
36.708,28.264070130
36.750,0.360419533
36.792,12.329718170
36.833,-5.976441467
36.875,-4.478922833
36.917,-27.795808930
36.958,8.878645000
37.000,-1.555545800
37.042,-4.988850233
37.083,1.499085300
37.125,4.621235300
37.167,5.823725533
37.208,1.915537300
37.250,0.556288267
37.292,0.731335567
37.333,4.186199133
37.375,2.623640000
37.417,1.629463300
37.458,2.256461700
37.500,3.856816700
37.542,-0.489691833
37.583,5.905299733
37.625,1.597799800
37.667,0.843092700
37.708,34.835420200
37.750,-12.180517730
37.792,3.752824367
37.833,-35.853100200
37.875,9.071274067
37.917,5.580780300
37.958,0.883716367
38.000,-2.159407333
38.042,4.335801733
38.083,4.187093000
38.125,3.308122700
38.167,2.242566400
38.208,1.362904400
38.250,1.476385300
38.292,2.685828200
38.333,12.193888070
38.375,18.309791630
38.417,-22.300621700
38.458,2.888593500
38.500,-4.904414967
38.542,-7.859141567
38.583,13.571010000
38.625,2.951525733
38.667,-21.662305370
38.708,-6.848850900
38.750,6.263468533
38.792,7.556788100
38.833,-5.933845567
38.875,0.660086767
38.917,1.943455267
38.958,3.857673367
39.000,7.048941200
39.042,2.354339400
39.083,-1.281847833
39.125,2.095756600
39.167,2.551018800
39.208,2.229643200
39.250,3.031425100
39.292,-0.952564533
39.333,36.262819030
39.375,-6.566744033
39.417,-21.503087870
39.458,7.477367170
39.500,-4.142285633
39.542,-5.114737233
39.583,-3.761128000
39.625,5.410644800
39.667,4.138971500
39.708,3.924936100
39.750,33.318275100
39.792,-6.738455233
39.833,-19.902757570
39.875,4.821183870
39.917,-6.637612333
39.958,-4.937773833
40.000,0.985925967
40.042,8.840169833
40.083,2.093285000
40.125,2.982870000
40.167,-1.816625033
40.208,1.496678400
40.250,5.463094000
40.292,5.406866400
40.333,2.993493367
40.375,2.758547500
40.417,4.954659900
40.458,5.885364867
40.500,-9.110910700
40.542,4.141722833
40.583,9.167032000
40.625,0.963433500
40.667,-6.478722267
40.708,3.251953800
40.750,33.243107430
40.792,-0.899279433
40.833,-13.450117670
40.875,-20.121770000
40.917,7.440539333
40.958,5.643680600
41.000,-7.855594733
41.042,-3.011830400
41.083,4.371809700
41.125,5.321651400
41.167,4.382763433
41.208,0.004455467
41.250,2.796017100
41.292,2.062612400
41.333,3.418244300
41.375,2.511018700
41.417,-1.300054733
41.458,2.942611600
41.500,3.579463200
41.542,2.381701900
41.583,2.969168700
41.625,1.168406567
41.667,1.001171100
41.708,33.832396400
41.750,-11.793359330
41.792,11.069553530
41.833,3.672216567
41.875,-34.898611530
41.917,7.073306967
41.958,-3.267199767
42.000,-6.856896100
42.042,-1.115800533
42.083,8.959907033
42.125,5.140447900
42.167,-1.570547933
42.208,-1.411150733
42.250,7.658345633
42.292,-1.715624100
42.333,-0.755876233
42.375,4.662903300
42.417,2.538057700
42.458,1.886651200
42.500,-0.943695533
42.542,1.608168700
42.583,7.064726433
42.625,-0.735989633
42.667,1.592235800
42.708,31.333499900
42.750,-7.576266470
42.792,11.787029870
42.833,0.583546867
42.875,-26.914677530
42.917,-6.514454570
42.958,0.775661433
43.000,-7.875957567
43.042,-3.881897633
43.083,4.599853500
43.125,3.835556100
43.167,0.069065867
43.208,6.628684033
43.250,1.893868700
43.292,-1.473505533
43.333,1.956309200
43.375,0.730425567
43.417,5.083168933
43.458,-2.596505767
43.500,6.151987833
43.542,3.371980500
43.583,-2.388536233
43.625,3.394392933
43.667,-0.102536233
43.708,36.339943270
43.750,-0.104901133
43.792,13.349458600
43.833,-5.233406900
43.875,3.475308300
43.917,-26.903945300
43.958,2.459661433
44.000,-6.445240233
44.042,-0.457915433
44.083,-4.474603900
44.125,11.780952470
44.167,6.846314733
44.208,-0.294248133
44.250,7.664804467
44.292,-0.646942033
44.333,6.052467933
44.375,4.751680333
44.417,-1.528499233
44.458,0.118560567
44.500,4.139580967
44.542,3.638873567
44.583,3.840706100
44.625,1.835174700
44.667,1.624764200
44.708,8.758152967
44.750,36.362139030
44.792,-1.551295800
44.833,-30.101673600
44.875,12.184830170
44.917,13.021469000
44.958,10.310656000
45.000,-3.766496800
45.042,12.116139430
45.083,8.411763400
45.125,14.328215830
45.167,2.355272700
45.208,12.262412830
45.250,12.533639230
45.292,1.730606200
45.333,13.004404530
45.375,11.388777700
45.417,4.260239700
45.458,5.661815267
45.500,11.990327230
45.542,2.994295433
45.583,6.753521867
45.625,11.891748730
45.667,1.548682700
45.708,24.530717330
45.750,-5.074809770
45.792,41.838148030
45.833,-0.715854233
45.875,-26.980798000
45.917,9.413546033
45.958,-0.000158267
46.000,5.856979467
46.042,-0.916227433
46.083,9.058871467
46.125,5.070003900
46.167,8.716403333
46.208,7.198055633
46.250,4.006430167
46.292,3.228032667
46.333,8.244122533
46.375,3.629932400
46.417,6.196678800
46.458,5.296063900
46.500,0.651585900
46.542,8.468052500
46.583,7.129385933
46.625,3.118898267
46.667,-1.116949500
46.708,35.478786000
46.750,-7.952027930
46.792,18.731202000
46.833,-0.013533000
46.875,-14.150177370
46.917,-7.224707467
46.958,9.997063330
47.000,3.478392533
47.042,-1.297141700
47.083,1.990296700
47.125,5.021388933
47.167,4.863464133
47.208,-0.170329300
47.250,4.692416433
47.292,4.892858100
47.333,6.595050367
47.375,2.457964800
47.417,6.799340800
47.458,0.316227433
47.500,0.910266033
47.542,3.957001000
47.583,7.351275933
47.625,3.937427933
47.667,2.170708900
47.708,33.326155600
47.750,5.363461567
47.792,3.470946433
47.833,-33.355796270
47.875,7.391027967
47.917,6.464653567
47.958,-0.972443133
48.000,-6.381687933
48.042,4.957048367
48.083,4.753418033
48.125,1.072189600
48.167,4.422954700
48.208,5.553604033
48.250,2.565970100
48.292,4.323680433
48.333,2.302602200
48.375,3.126961000
48.417,4.177775233
48.458,3.407963800
48.500,1.157482500
48.542,5.265744533
48.583,2.448208600
48.625,1.445518500
48.667,3.814417633
48.708,31.656666130
48.750,5.461110367
48.792,3.937691067
48.833,-40.231148430
48.875,15.240659700
48.917,-2.063470767
48.958,-4.767754833
49.000,-0.273545800
49.042,4.904077800
49.083,6.776975133
49.125,2.537525800
49.167,2.032044700
49.208,1.512894300
49.250,7.042570433
49.292,0.406670700
49.333,1.762858900
49.375,3.397451800
49.417,1.214640000
49.458,3.155999400
49.500,2.391454200
49.542,5.304975133
49.583,2.077785300
49.625,1.029234900
49.667,4.574135433
49.708,31.134173300
49.750,0.313074000
49.792,8.234556133
49.833,-39.510972600
49.875,15.271448970
49.917,-0.283337367
49.958,-8.913935333
50.000,1.574368300
50.042,4.405830200
50.083,1.118208600
50.125,6.391832633
50.167,-0.636933533
50.208,1.507885000
50.250,5.554332533
50.292,1.407782900
50.333,-0.426112633
50.375,5.517349133
50.417,3.106037800
50.458,2.428970700
50.500,3.749227200
50.542,1.464388100
50.583,0.697783900
50.625,1.523160900
50.667,1.470161300
50.708,37.254237500
50.750,4.056237900
50.792,-24.719197930
50.833,10.381054900
50.875,14.123292670
50.917,-39.255787870
50.958,7.249570600
51.000,0.893482067
51.042,2.019388500
51.083,-4.666989100
51.125,3.366235300
51.167,3.464197100
51.208,2.546765333
51.250,3.024905800
51.292,0.442339167
51.333,4.939756633
51.375,1.527198300
51.417,3.379425500
51.458,0.903339567
51.500,2.913012933
51.542,-1.098226233
51.583,2.171670700
51.625,7.002351133
51.667,1.897519867
51.708,35.426114730
51.750,-8.110634333
51.792,3.024136367
51.833,-24.867489930
51.875,3.165687367
51.917,11.106493330
51.958,-19.004886800
52.000,-14.933141600
52.042,7.276163433
52.083,3.450513900
52.125,-2.293491833
52.167,1.997294200
52.208,3.953779900
52.250,-0.977320633
52.292,0.824112967
52.333,7.174255167
52.375,-1.573621633
52.417,4.477133433
52.458,1.696388733
52.500,-3.677708933
52.542,-0.319687700
52.583,0.053491400
52.625,11.218164330
52.667,3.811477633
52.708,19.388544700
52.750,18.204123970
52.792,-6.859265600
52.833,-30.437666900
52.875,9.224339700
52.917,-4.834955100
52.958,-2.276559367
53.000,2.447075400
53.042,4.031870033
53.083,0.224961567
53.125,2.995077800
53.167,4.494209433
53.208,0.766959167
53.250,-1.530175767
53.292,4.073449800
53.333,5.136389633
53.375,2.228404467
53.417,2.585717200
53.458,4.306565633
53.500,0.498793767
53.542,2.399733300
53.583,6.023242933
53.625,-0.899462633
53.667,4.654552833
53.708,28.200431100
53.750,2.464689733
53.792,7.433559867
53.833,-4.980479767
53.875,-38.622948270
53.917,3.983052633
53.958,3.101452633
54.000,-5.372436433
54.042,-0.145161933
54.083,1.640423500
54.125,7.963670533
54.167,2.499987667
54.208,-8.982816500
54.250,13.468208270
54.292,4.560606200
54.333,3.180602800
54.375,-1.068324233
54.417,2.763204800
54.458,2.040273500
54.500,2.053771700
54.542,2.941214400
54.583,4.419692733
54.625,1.783206700
54.667,0.805395100
54.708,31.788218700
54.750,2.460454233
54.792,5.115862267
54.833,2.976171367
54.875,-39.947446700
54.917,3.994712433
54.958,0.536244033
55.000,-3.029661633
55.042,-0.808028933
55.083,6.454794833
55.125,1.577273100
55.167,1.864187600
55.208,5.156537700
55.250,-1.085264833
55.292,5.071132633
55.333,2.005744700
55.375,1.913754200
55.417,2.661678200
55.458,1.885266000
55.500,2.913461700
55.542,2.820413600
55.583,2.245505500
55.625,2.392573400
55.667,1.630214400
55.708,33.039597600
55.750,1.072437033
55.792,9.352671167
55.833,-7.701224400
55.875,-35.254330630
55.917,7.268145170
55.958,4.375589433
56.000,-7.101633733
56.042,1.855047100
56.083,2.480839700
56.125,7.818171033
56.167,6.606420933
56.208,-3.308066733
56.250,36.665408270
56.292,3.847491767
56.333,11.353476170
56.375,-31.436669330
56.417,-7.329747600
56.458,10.773925870
56.500,-0.180017733
56.542,-4.149680133
56.583,8.069015233
56.625,9.618435433
56.667,4.666957033
56.708,-2.717531300
56.750,-21.965289730
56.792,42.819963230
56.833,9.087509767
56.875,11.858156630
56.917,8.957150267
56.958,3.936426733
57.000,-0.872322000
57.042,7.189689367
57.083,8.713322867
57.125,7.157368167
57.167,4.468462133
57.208,7.474886667
57.250,3.411651133
57.292,9.671520200
57.333,6.633623267
57.375,7.019284667
57.417,1.496753800
