 Branch:,           3 , # of structures:,           3 , outlet temperatures
      JDAY,      T(C),      T(C),      T(C),   Q(m3/s),   Q(m3/s),   Q(m3/s),    ELEVCL,    ELEVCL,    ELEVCL,
    3.2941,      8.95,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    3.3355,      8.95,    -99.00,    -99.00,      5.81,      0.00,      0.00,    301.90,    340.05,    368.81,
    3.3771,      8.94,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    3.4191,      8.94,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    3.4605,      8.94,    -99.00,    -99.00,      5.81,      0.00,      0.00,    301.90,    340.05,    368.81,
    3.5021,      8.94,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    3.5441,      8.94,    -99.00,    -99.00,      5.84,      0.00,      0.00,    301.90,    340.05,    368.81,
    3.5855,      8.94,    -99.00,    -99.00,      5.81,      0.00,      0.00,    301.90,    340.05,    368.81,
    3.6278,      8.94,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    3.6691,      8.94,    -99.00,    -99.00,      5.84,      0.00,      0.00,    301.90,    340.05,    368.81,
    3.7111,      8.94,    -99.00,    -99.00,      5.81,      0.00,      0.00,    301.90,    340.05,    368.81,
    3.7525,      8.94,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    3.7940,      8.94,    -99.00,    -99.00,      5.84,      0.00,      0.00,    301.90,    340.05,    368.81,
    3.8358,      8.94,    -99.00,    -99.00,      5.81,      0.00,      0.00,    301.90,    340.05,    368.81,
    3.8774,      8.94,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    3.9191,      8.94,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    3.9611,      8.94,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    4.0027,      8.94,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    4.0448,      8.94,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    4.0864,      8.94,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    4.1278,      8.94,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    4.1698,      8.94,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    4.2114,      8.94,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    4.2528,      8.94,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    4.2948,      8.94,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    4.3364,      8.94,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    4.3778,      8.94,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    4.4198,      8.94,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    4.4614,      8.94,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    4.5035,      8.94,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    4.5448,      8.94,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    4.5864,      8.94,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    4.6285,      8.94,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    4.6698,      8.94,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    4.7113,      8.94,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    4.7532,      8.94,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    4.7948,      8.94,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    4.8366,      8.94,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    4.8782,      8.95,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    4.9199,      8.95,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    4.9620,      8.95,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    5.0035,      8.95,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    5.0455,      8.95,    -99.00,    -99.00,      5.81,      0.00,      0.00,    301.90,    340.05,    368.81,
    5.0867,      8.95,    -99.00,    -99.00,      5.84,      0.00,      0.00,    301.90,    340.05,    368.81,
    5.1285,      8.95,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    5.1705,      8.95,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    5.2122,      8.95,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    5.2535,      8.95,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    5.2955,      8.95,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    5.3372,      8.95,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    5.3792,      8.95,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    5.4205,      8.95,    -99.00,    -99.00,      5.81,      0.00,      0.00,    301.90,    340.05,    368.81,
    5.4622,      8.95,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    5.5042,      8.95,    -99.00,    -99.00,      5.84,      0.00,      0.00,    301.90,    340.05,    368.81,
    5.5455,      8.95,    -99.00,    -99.00,      5.81,      0.00,      0.00,    301.90,    340.05,    368.81,
    5.5872,      8.95,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    5.6292,      8.95,    -99.00,    -99.00,      5.84,      0.00,      0.00,    301.90,    340.05,    368.81,
    5.6705,      8.95,    -99.00,    -99.00,      5.81,      0.00,      0.00,    301.90,    340.05,    368.81,
    5.7122,      8.95,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    5.7542,      8.95,    -99.00,    -99.00,      5.82,      0.00,      0.00,    301.90,    340.05,    368.81,
    5.7958,      8.95,    -99.00,    -99.00,      5.82,      0.00,      0.00,    301.90,    340.05,    368.81,
    5.8372,      8.95,    -99.00,    -99.00,      5.82,      0.00,      0.00,    301.90,    340.05,    368.81,
    5.8793,      8.95,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    5.9210,      8.95,    -99.00,    -99.00,      5.84,      0.00,      0.00,    301.90,    340.05,    368.81,
    5.9625,      8.95,    -99.00,    -99.00,      5.81,      0.00,      0.00,    301.90,    340.05,    368.81,
    6.0042,      8.95,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    6.0462,      8.95,    -99.00,    -99.00,      5.84,      0.00,      0.00,    301.90,    340.05,    368.81,
    6.0879,      8.95,    -99.00,    -99.00,      5.81,      0.00,      0.00,    301.90,    340.05,    368.81,
    6.1292,      8.95,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    6.1712,      8.95,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    6.2129,      8.94,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    6.2549,      8.94,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    6.2962,      8.94,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    6.3378,      8.94,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    6.3795,      8.93,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    6.4211,      8.94,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    6.4627,      8.94,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    6.5049,      8.94,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    6.5462,      8.94,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    6.5882,      8.94,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    6.6299,      8.94,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    6.6718,      8.94,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    6.7131,      8.94,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    6.7546,      8.93,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    6.7966,      8.93,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    6.8382,      8.92,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    6.8799,      8.90,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    6.9217,      8.90,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    6.9636,      8.89,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    7.0054,      8.88,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    7.0469,      8.88,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    7.0887,      8.87,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    7.1306,      8.87,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    7.1719,      8.87,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    7.2137,      8.86,    -99.00,    -99.00,      5.81,      0.00,      0.00,    301.90,    340.05,    368.81,
    7.2556,      8.86,    -99.00,    -99.00,      5.84,      0.00,      0.00,    301.90,    340.05,    368.81,
    7.2969,      8.86,    -99.00,    -99.00,      5.81,      0.00,      0.00,    301.90,    340.05,    368.81,
    7.3384,      8.86,    -99.00,    -99.00,      5.84,      0.00,      0.00,    301.90,    340.05,    368.81,
    7.3802,      8.85,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    7.4224,      8.85,    -99.00,    -99.00,      5.81,      0.00,      0.00,    301.90,    340.05,    368.81,
    7.4636,      8.85,    -99.00,    -99.00,      5.84,      0.00,      0.00,    301.90,    340.05,    368.81,
    7.5056,      8.85,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    7.5476,      8.85,    -99.00,    -99.00,      5.81,      0.00,      0.00,    301.90,    340.05,    368.81,
    7.5887,      8.85,    -99.00,    -99.00,      5.84,      0.00,      0.00,    301.90,    340.05,    368.81,
    7.6306,      8.85,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    7.6726,      8.85,    -99.00,    -99.00,      5.81,      0.00,      0.00,    301.90,    340.05,    368.81,
    7.7137,      8.85,    -99.00,    -99.00,      5.84,      0.00,      0.00,    301.90,    340.05,    368.81,
    7.7555,      8.85,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    7.7974,      8.84,    -99.00,    -99.00,      5.81,      0.00,      0.00,    301.90,    340.05,    368.81,
    7.8391,      8.84,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    7.8810,      8.84,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    7.9223,      8.84,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    7.9643,      8.84,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    8.0063,      8.83,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    8.0476,      8.83,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    8.0890,      8.83,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    8.1313,      8.83,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    8.1726,      8.83,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    8.2147,      8.84,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    8.2563,      8.84,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    8.2976,      8.84,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    8.3395,      8.83,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    8.3809,      8.83,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    8.4229,      8.83,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    8.4645,      8.82,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    8.5061,      8.82,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    8.5483,      8.82,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    8.5900,      8.82,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    8.6316,      8.82,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    8.6732,      8.81,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    8.7149,      8.81,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    8.7564,      8.81,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    8.7980,      8.81,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    8.8396,      8.81,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    8.8815,      8.81,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    8.9232,      8.81,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    8.9651,      8.81,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    9.0070,      8.81,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    9.0483,      8.81,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    9.0904,      8.81,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    9.1320,      8.81,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    9.1733,      8.81,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    9.2154,      8.80,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    9.2570,      8.80,    -99.00,    -99.00,      5.81,      0.00,      0.00,    301.90,    340.05,    368.81,
    9.2990,      8.80,    -99.00,    -99.00,      5.84,      0.00,      0.00,    301.90,    340.05,    368.81,
    9.3405,      8.80,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    9.3820,      8.80,    -99.00,    -99.00,      5.81,      0.00,      0.00,    301.90,    340.05,    368.81,
    9.4239,      8.80,    -99.00,    -99.00,      5.84,      0.00,      0.00,    301.90,    340.05,    368.81,
    9.4653,      8.80,    -99.00,    -99.00,      5.81,      0.00,      0.00,    301.90,    340.05,    368.81,
    9.5071,      8.80,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    9.5485,      8.80,    -99.00,    -99.00,      5.84,      0.00,      0.00,    301.90,    340.05,    368.81,
    9.5904,      8.80,    -99.00,    -99.00,      5.81,      0.00,      0.00,    301.90,    340.05,    368.81,
    9.6321,      8.80,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    9.6738,      8.80,    -99.00,    -99.00,      5.84,      0.00,      0.00,    301.90,    340.05,    368.81,
    9.7155,      8.80,    -99.00,    -99.00,      5.81,      0.00,      0.00,    301.90,    340.05,    368.81,
    9.7574,      8.80,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    9.7988,      8.80,    -99.00,    -99.00,      5.82,      0.00,      0.00,    301.90,    340.05,    368.81,
    9.8406,      8.80,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    9.8825,      8.80,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    9.9239,      8.79,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    9.9656,      8.79,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
   10.0077,      8.79,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
   10.0490,      8.79,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
   10.0909,      8.79,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
   10.1325,      8.79,      8.97,    -99.00,      4.88,      0.95,      0.00,    301.90,    340.05,    368.81,
   10.1747,      8.79,      8.97,    -99.00,      4.85,      0.97,      0.00,    301.90,    340.05,    368.81,
   10.2158,      8.79,      8.97,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
   10.2576,      8.79,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
   10.2997,      8.79,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
   10.3408,      8.79,    -99.00,    -99.00,      5.82,      0.00,      0.00,    301.90,    340.05,    368.81,
   10.3826,      8.79,    -99.00,    -99.00,      5.78,      0.00,      0.00,    301.90,    340.05,    368.81,
   10.4247,      8.79,    -99.00,    -99.00,      5.80,      0.00,      0.00,    301.90,    340.05,    368.81,
   10.4661,      8.79,    -99.00,    -99.00,      5.80,      0.00,      0.00,    301.90,    340.05,    368.81,
   10.5077,      8.79,    -99.00,    -99.00,      5.80,      0.00,      0.00,    301.90,    340.05,    368.81,
   10.5493,      8.79,      8.98,    -99.00,      5.75,      0.05,      0.00,    301.90,    340.05,    368.81,
   10.5912,      8.79,      8.98,    -99.00,      5.75,      0.05,      0.00,    301.90,    340.05,    368.81,
   10.6330,      8.79,      8.97,    -99.00,      5.80,      0.00,      0.00,    301.90,    340.05,    368.81,
   10.6747,      8.79,    -99.00,    -99.00,      5.80,      0.00,      0.00,    301.90,    340.05,    368.81,
   10.7161,      8.79,    -99.00,    -99.00,      5.80,      0.00,      0.00,    301.90,    340.05,    368.81,
   10.7579,      8.79,    -99.00,    -99.00,      5.80,      0.00,      0.00,    301.90,    340.05,    368.81,
   10.7995,      8.79,    -99.00,    -99.00,      5.80,      0.00,      0.00,    301.90,    340.05,    368.81,
   10.8414,      8.79,    -99.00,    -99.00,      5.80,      0.00,      0.00,    301.90,    340.05,    368.81,
   10.8834,      8.79,    -99.00,    -99.00,      5.80,      0.00,      0.00,    301.90,    340.05,    368.81,
   10.9251,      8.79,    -99.00,    -99.00,      5.80,      0.00,      0.00,    301.90,    340.05,    368.81,
   10.9663,      8.79,    -99.00,    -99.00,      5.80,      0.00,      0.00,    301.90,    340.05,    368.81,
   11.0083,      8.79,    -99.00,    -99.00,      5.80,      0.00,      0.00,    301.90,    340.05,    368.81,
   11.0503,      8.79,    -99.00,    -99.00,      5.80,      0.00,      0.00,    301.90,    340.05,    368.81,
   11.0916,      8.79,    -99.00,    -99.00,      5.78,      0.00,      0.00,    301.90,    340.05,    368.81,
   11.1336,      8.79,    -99.00,    -99.00,      5.82,      0.00,      0.00,    301.90,    340.05,    368.81,
   11.1750,      8.79,    -99.00,    -99.00,      5.80,      0.00,      0.00,    301.90,    340.05,    368.81,
   11.2170,      8.79,    -99.00,    -99.00,      5.78,      0.00,      0.00,    301.90,    340.05,    368.81,
   11.2583,      8.79,    -99.00,    -99.00,      5.82,      0.00,      0.00,    301.90,    340.05,    368.81,
   11.3003,      8.79,    -99.00,    -99.00,      5.78,      0.00,      0.00,    301.90,    340.05,    368.81,
   11.3416,      8.79,    -99.00,    -99.00,      5.82,      0.00,      0.00,    301.90,    340.05,    368.81,
   11.3838,      8.79,    -99.00,    -99.00,      5.80,      0.00,      0.00,    301.90,    340.05,    368.81,
   11.4253,      8.79,    -99.00,    -99.00,      5.78,      0.00,      0.00,    301.90,    340.05,    368.81,
   11.4673,      8.79,    -99.00,    -99.00,      5.80,      0.00,      0.00,    301.90,    340.05,    368.81,
   11.5090,      8.79,    -99.00,    -99.00,      5.82,      0.00,      0.00,    301.90,    340.05,    368.81,
   11.5503,      8.79,    -99.00,    -99.00,      5.80,      0.00,      0.00,    301.90,    340.05,    368.81,
   11.5922,      8.79,    -99.00,    -99.00,      5.78,      0.00,      0.00,    301.90,    340.05,    368.81,
