 Branch:,           1 , # of structures:,           1 , outlet temperatures
      JDAY,      T(C),   Q(m3/s),    ELEVCL,
   12.5510,      8.90,      0.40,    327.66,
   12.5927,      8.90,      0.40,    327.66,
   12.6347,      8.90,      0.40,    327.66,
   12.6760,      8.90,      0.40,    327.66,
   12.7184,      8.90,      0.40,    327.66,
   12.7594,      8.90,      0.40,    327.66,
   12.8013,      8.90,      0.40,    327.66,
   12.8429,      8.90,      0.40,    327.66,
   12.8848,      8.90,      0.40,    327.66,
   12.9264,      8.91,      0.40,    327.66,
   12.9684,      8.91,      0.40,    327.66,
   13.0097,      8.91,      0.40,    327.66,
   13.0517,      8.91,      0.40,    327.66,
   13.0934,      8.91,      0.40,    327.66,
   13.1347,      8.91,      0.40,    327.66,
   13.1767,      8.91,      0.40,    327.66,
   13.2183,      8.91,      0.40,    327.66,
   13.2604,      8.91,      0.40,    327.66,
   13.3017,      8.92,      0.40,    327.66,
   13.3433,      8.92,      0.40,    327.66,
   13.3854,      8.92,      0.40,    327.66,
   13.4267,      8.92,      0.40,    327.66,
   13.4683,      8.92,      0.40,    327.66,
   13.5104,      8.93,      0.40,    327.66,
   13.5517,      8.93,      0.40,    327.66,
   13.5940,      8.93,      0.40,    327.66,
   13.6354,      8.93,      0.40,    327.66,
   13.6774,      8.93,      0.40,    327.66,
   13.7190,      8.93,      0.40,    327.66,
   13.7604,      8.92,      0.40,    327.66,
   13.8020,      8.92,      0.40,    327.66,
   13.8437,      8.91,      0.40,    327.66,
   13.8853,      8.90,      0.40,    327.66,
   13.9272,      8.90,      0.40,    327.66,
   13.9689,      8.89,      0.40,    327.66,
   14.0104,      8.89,      0.40,    327.66,
   14.0524,      8.89,      0.40,    327.66,
   14.0944,      8.89,      0.40,    327.66,
   14.1357,      8.90,      0.40,    327.66,
   14.1772,      8.91,      0.40,    327.66,
   14.2191,      8.91,      0.40,    327.66,
   14.2611,      8.91,      0.40,    327.66,
   14.3024,      8.92,      0.40,    327.66,
   14.3444,      8.92,      1.07,    327.66,
   14.3861,      8.95,     16.33,    327.66,
   14.4274,      8.95,     17.01,    327.66,
   14.4691,      8.94,     17.00,    327.66,
   14.5111,      8.94,     16.96,    327.66,
   14.5531,      8.88,     16.97,    327.66,
   14.5948,      8.92,     18.33,    327.66,
   14.6359,      8.95,     48.92,    327.66,
   14.6777,      8.93,     50.12,    327.66,
   14.7200,      8.86,     19.25,    327.66,
   14.7611,      8.86,     18.02,    327.66,
   14.8030,      8.91,     48.99,    327.66,
   14.8448,      8.90,     51.10,    327.66,
   14.8862,      8.89,     50.05,    327.66,
   14.9280,      8.85,      7.79,    327.66,
