 Branch:,           1 , # of structures:,           1 , outlet temperatures
      JDAY,      T(C),   Q(m3/s),    ELEVCL,
   13.9271,      8.43,      6.06,    327.66,
   13.9691,      8.41,      5.50,    327.66,
   14.0104,      8.39,      3.83,    327.66,
   14.0524,      8.36,      3.50,    327.66,
   14.0940,      8.35,      3.50,    327.66,
   14.1361,      8.34,      4.14,    327.66,
   14.1774,      8.33,      3.80,    327.66,
   14.2190,      8.33,      3.75,    327.66,
   14.2611,      8.33,      5.59,    327.66,
   14.3026,      8.43,     41.62,    327.66,
   14.3444,      8.43,     48.26,    327.66,
   14.3863,      8.42,     39.24,    327.66,
   14.4278,      8.37,      3.54,    327.66,
   14.4691,      8.38,      1.26,    327.66,
   14.5111,      8.37,      1.25,    327.66,
   14.5531,      8.37,      1.25,    327.66,
   14.5945,      8.36,      1.25,    327.66,
   14.6361,      8.36,      1.25,    327.66,
   14.6781,      8.36,      1.25,    327.66,
   14.7195,      8.35,      4.23,    327.66,
   14.7612,      8.45,     40.91,    327.66,
   14.8031,      8.43,     35.31,    327.66,
   14.8445,      8.36,      5.30,    327.66,
   14.8864,      8.35,      5.43,    327.66,
   14.9279,      8.40,     35.26,    327.66,
   14.9697,      8.33,      5.33,    327.66,
   15.0118,      8.33,      4.02,    327.66,
   15.0531,      8.33,      4.02,    327.66,
   15.0949,      8.33,      3.99,    327.66,
   15.1368,      8.33,      4.08,    327.66,
   15.1781,      8.33,      4.20,    327.66,
   15.2199,      8.33,      4.29,    327.66,
   15.2618,      8.33,      4.42,    327.66,
   15.3031,      8.34,      5.28,    327.66,
   15.3450,      8.35,     11.07,    327.66,
   15.3866,      8.37,     36.54,    327.66,
   15.4282,      8.37,     37.89,    327.66,
   15.4703,      8.38,     39.77,    327.66,
   15.5118,      8.39,     41.47,    327.66,
   15.5536,      8.40,     47.44,    327.66,
   15.5953,      8.40,     44.66,    327.66,
   15.6370,      8.40,     38.21,    327.66,
   15.6786,      8.40,     38.32,    327.66,
   15.7202,      8.40,     38.14,    327.66,
   15.7621,      8.40,     50.72,    327.66,
   15.8037,      8.41,     61.79,    327.66,
   15.8453,      8.41,     60.17,    327.66,
   15.8874,      8.42,     45.37,    327.66,
   15.9289,      8.38,      5.74,    327.66,
   15.9705,      8.39,      4.91,    327.66,
   16.0122,      8.38,      4.01,    327.66,
   16.0541,      8.39,      4.18,    327.66,
   16.0957,      8.40,      4.23,    327.66,
   16.1375,      8.40,      3.86,    327.66,
   16.1793,      8.40,      3.70,    327.66,
   16.2207,      8.40,      3.76,    327.66,
   16.2622,      8.40,      6.10,    327.66,
   16.3042,      8.40,     53.39,    327.66,
   16.3459,      8.42,     55.75,    327.66,
   16.3874,      8.43,     56.04,    327.66,
   16.4290,      8.44,     56.13,    327.66,
   16.4707,      8.45,     55.91,    327.66,
   16.5124,      8.46,     55.93,    327.66,
   16.5544,      8.47,     56.05,    327.66,
   16.5959,      8.48,     55.46,    327.66,
   16.6377,      8.48,     43.85,    327.66,
   16.6796,      8.47,     43.15,    327.66,
   16.7214,      8.46,     42.06,    327.66,
   16.7629,      8.45,     45.30,    327.66,
   16.8047,      8.43,     43.62,    327.66,
   16.8463,      8.41,     46.86,    327.66,
   16.8878,      8.40,     53.99,    327.66,
   16.9298,      8.38,     55.68,    327.66,
   16.9713,      8.38,     40.97,    327.66,
   17.0129,      8.37,     42.60,    327.66,
   17.0546,      8.34,     17.53,    327.66,
   17.0966,      8.34,     16.29,    327.66,
   17.1381,      8.34,     16.11,    327.66,
   17.1798,      8.35,     15.65,    327.66,
   17.2217,      8.35,     15.86,    327.66,
   17.2631,      8.35,     15.86,    327.66,
