Shasta Lake Hydro MR,shared\DMS_SacTrnHydroTS.dss,/MR SAC.-SHASTA LAKE/SULANHARAS CREEK-FLOW/FLOW//1DAY/230.7.125.1.1/
Shasta Lake Hydro MR,shared\DMS_SacTrnHydroTS.dss,/MR SAC.-SHASTA LAKE/SULANHARAS CREEK-TEMP/TEMP-WATER//1HOUR/230.7.50.1.1/
Trinity Lake Tributary Hydro MR,shared\DMS_SacTrnHydroTS.dss,/MR SAC.-TRINITY LAKE/EF TRINITY RIVER-INFLOW/FLOW//1DAY/231.7.125.1.1/
Trinity Lake Tributary Hydro MR,shared\DMS_SacTrnHydroTS.dss,/MR SAC.-TRINITY LAKE/EF TRINITY RIVER-INFLOW WTEMP/TEMP-WATER//1DAY/231.7.50.1.1/
Trinity Lake Tributary Hydro MR,shared\DMS_SacTrnHydroTS.dss,/MR SAC.-TRINITY LAKE/STUART FORK-INFLOW/FLOW//1DAY/231.8.125.1.1/
Trinity Lake Tributary Hydro MR,shared\DMS_SacTrnHydroTS.dss,/MR SAC.-TRINITY LAKE/STUART FORK-INFLOW WTEMP/TEMP-WATER//1DAY/231.8.50.1.1/
Trinity Lake Tributary Hydro MR,shared\DMS_SacTrnHydroTS.dss,/MR SAC.-TRINITY LAKE/SWIFT CREEK-INFLOW/FLOW//1DAY/231.9.125.1.1/
Trinity Lake Tributary Hydro MR,shared\DMS_SacTrnHydroTS.dss,/MR SAC.-TRINITY LAKE/SWIFT CREEK-INFLOW WTEMP/TEMP-WATER//1DAY/231.9.50.1.1/
Trinity Lake Tributary Hydro MR,shared\DMS_SacTrnHydroTS.dss,/MR SAC.-TRINITY LAKE/TRINITY RIVER-INFLOW/FLOW//1DAY/231.6.125.1.1/
Trinity Lake Tributary Hydro MR,shared\DMS_SacTrnHydroTS.dss,/MR SAC.-TRINITY LAKE/TRINITY RIVER-INFLOW WTEMP/TEMP-WATER//1DAY/231.6.50.1.1/
Trinity Lake Tributary Hydro MR,shared\DMS_SacTrnHydroTS.dss,/MR SAC.-TRINITY LAKE/TRN-COMPUTED INFLOW/FLOW//1DAY/231.5.125.10.1/
Trinity Lake Hydro MR,shared\DMS_SacTrnHydroTS.dss,/MR SAC.-TRINITY LAKE/TRN-DAM RELEASE WTEMP/TEMP-WATER//1HOUR/231.5.50.1.1/
Trinity Lake Hydro MR,shared\DMS_SacTrnHydroTS.dss,/MR SAC.-TRINITY LAKE/TRN-GENERATION RELEASE/FLOW//1HOUR/231.5.125.2.1/
Trinity Lake Hydro MR,shared\DMS_SacTrnHydroTS.dss,/MR SAC.-TRINITY LAKE/TRN-OUTLET RELEASE G1/FLOW//1HOUR/231.5.125.7.1/
Trinity Lake Hydro MR,shared\DMS_SacTrnHydroTS.dss,/MR SAC.-TRINITY LAKE/TRN-OUTLET RELEASE G2/FLOW//1HOUR/231.5.125.8.1/
Trinity Lake Hydro MR,shared\DMS_SacTrnHydroTS.dss,/MR SAC.-TRINITY LAKE/TRN-OUTLET RELEASE G3/FLOW//1HOUR/231.5.125.9.1/
Trinity Lake Hydro MR,shared\DMS_SacTrnHydroTS.dss,/MR SAC.-TRINITY LAKE/TRN-RESERVOIR STORAGE/STOR//1HOUR/231.5.165.1.1/
Trinity Lake Hydro MR,shared\DMS_SacTrnHydroTS.dss,/MR SAC.-TRINITY LAKE/TRN-SPILL RELEASE/FLOW//1HOUR/231.5.125.3.1/
Trinity Lake Hydro MR,shared\DMS_SacTrnHydroTS.dss,/MR SAC.-TRINITY LAKE/TRN-TOTAL RELEASE/FLOW//1HOUR/231.5.125.4.1/
Trinity River Hydro MR,shared\DMS_SacTrnHydroTS.dss,/MR SAC.-TRINITY RIVER/BROWNS CK-FLOW/FLOW//1DAY/236.105.125.1.1/
Trinity River Hydro MR,shared\DMS_SacTrnHydroTS.dss,/MR SAC.-TRINITY RIVER/BROWNS CK-TEMP-WATER/TEMP-WATER//1DAY/236.105.50.1.1/
Trinity River Hydro MR,shared\DMS_SacTrnHydroTS.dss,/MR SAC.-TRINITY RIVER/CANYON CK-FLOW/FLOW//1DAY/236.106.125.1.1/
Trinity River Hydro MR,shared\DMS_SacTrnHydroTS.dss,/MR SAC.-TRINITY RIVER/CANYON CK-TEMP-WATER/TEMP-WATER//1DAY/236.106.50.1.1/
Trinity River Hydro MR,shared\DMS_SacTrnHydroTS.dss,/MR SAC.-TRINITY RIVER/GRASS VALLEY CK-FLOW/FLOW//1DAY/236.101.125.1.1/
Trinity River Hydro MR,shared\DMS_SacTrnHydroTS.dss,/MR SAC.-TRINITY RIVER/GRASS VALLEY CK-TEMP-WATER/TEMP-WATER//1DAY/236.101.50.1.1/
Trinity River Hydro MR,shared\DMS_SacTrnHydroTS.dss,/MR SAC.-TRINITY RIVER/INDIAN CK-FLOW/FLOW//1DAY/236.102.125.1.1/
Trinity River Hydro MR,shared\DMS_SacTrnHydroTS.dss,/MR SAC.-TRINITY RIVER/INDIAN CK-TEMP-WATER/TEMP-WATER//1DAY/236.102.50.1.1/
