$Trinity Lake Br3 inflow year 2017 YC updated 06/01/23,
",,,",
Jday,USBR TL Inflow (QI)
270.417,0.991080278
270.458,0.991080278
270.5,0.991080278
270.542,0.991080278
270.583,0.991080278
270.625,0.991080278
270.667,0.991080278
270.708,0.991080278
270.75,0.991080278
270.792,0.991080278
270.833,0.991080278
270.875,0.991080278
270.917,0.991080278
270.958,0.991080278
271,0.991080278
271.042,0.991080278
271.083,0.991080278
271.125,0.991080278
271.167,0.991080278
271.208,0.991080278
271.25,0.991080278
271.292,0.991080278
271.333,0.991080278
271.375,0.991080278
271.417,0.991080278
271.458,0.991080278
271.5,0.991080278
271.542,0.991080278
271.583,0.991080278
271.625,0.991080278
271.667,0.991080278
271.708,0.991080278
271.75,0.991080278
271.792,0.991080278
271.833,0.991080278
271.875,0.991080278
271.917,0.991080278
271.958,0.991080278
272,0.991080278
272.042,0.991080278
272.083,0.991080278
272.125,0.991080278
272.167,0.991080278
272.208,0.991080278
272.25,0.991080278
272.292,0.991080278
272.333,0.991080278
272.375,0.991080278
272.417,0.991080278
272.458,0.991080278
272.5,0.991080278
272.542,0.991080278
272.583,0.991080278
272.625,0.991080278
272.667,0.991080278
272.708,0.991080278
272.75,0.991080278
272.792,0.991080278
272.833,0.991080278
272.875,0.991080278
272.917,0.991080278
272.958,0.991080278
273,0.991080278
273.042,0.991080278
273.083,0.991080278
273.125,0.991080278
273.167,0.991080278
273.208,0.991080278
273.25,0.991080278
273.292,0.991080278
273.333,0.991080278
273.375,0.991080278
273.417,0.991080278
273.458,0.991080278
273.5,0.991080278
273.542,0.991080278
273.583,0.991080278
273.625,0.991080278
273.667,0.991080278
273.708,0.991080278
273.75,0.991080278
273.792,0.991080278
273.833,0.991080278
273.875,0.991080278
273.917,0.991080278
273.958,0.991080278
274,0.707914484
274.042,0.707914484
274.083,0.707914484
274.125,0.707914484
274.167,0.707914484
274.208,0.707914484
274.25,0.707914484
274.292,0.707914484
274.333,0.707914484
274.375,0.707914484
274.417,0.707914484
274.458,0.707914484
274.5,0.707914484
274.542,0.707914484
274.583,0.707914484
274.625,0.707914484
274.667,0.707914484
274.708,0.707914484
274.75,0.707914484
274.792,0.707914484
274.833,0.707914484
274.875,0.707914484
274.917,0.707914484
274.958,0.707914484
275,0.707914484
275.042,0.707914484
275.083,0.707914484
275.125,0.707914484
275.167,0.707914484
275.208,0.707914484
275.25,0.707914484
275.292,0.707914484
275.333,0.707914484
275.375,0.707914484
275.417,0.707914484
275.458,0.707914484
275.5,0.707914484
275.542,0.707914484
275.583,0.707914484
275.625,0.707914484
275.667,0.707914484
275.708,0.707914484
275.75,0.707914484
275.792,0.707914484
275.833,0.707914484
275.875,0.707914484
275.917,0.707914484
275.958,0.707914484
276,0.707914484
276.042,0.707914484
276.083,0.707914484
276.125,0.707914484
276.167,0.707914484
276.208,0.707914484
276.25,0.707914484
276.292,0.707914484
276.333,0.707914484
276.375,0.707914484
276.417,0.707914484
276.458,0.707914484
276.5,0.707914484
276.542,0.707914484
276.583,0.707914484
276.625,0.707914484
276.667,0.707914484
276.708,0.707914484
276.75,0.707914484
276.792,0.707914484
276.833,0.707914484
276.875,0.707914484
276.917,0.707914484
276.958,0.707914484
277,0.707914484
277.042,0.707914484
277.083,0.707914484
277.125,0.707914484
277.167,0.707914484
277.208,0.707914484
277.25,0.707914484
277.292,0.707914484
277.333,0.707914484
277.375,0.707914484
277.417,0.707914484
277.458,0.707914484
277.5,0.707914484
277.542,0.707914484
277.583,0.707914484
277.625,0.707914484
277.667,0.707914484
277.708,0.707914484
277.75,0.707914484
277.792,0.707914484
277.833,0.707914484
277.875,0.707914484
277.917,0.707914484
277.958,0.707914484
278,0.707914484
278.042,0.707914484
278.083,0.707914484
278.125,0.707914484
278.167,0.707914484
278.208,0.707914484
278.25,0.707914484
278.292,0.707914484
278.333,0.707914484
278.375,0.707914484
278.417,0.707914484
278.458,0.707914484
278.5,0.707914484
278.542,0.707914484
278.583,0.707914484
278.625,0.707914484
278.667,0.707914484
278.708,0.707914484
278.75,0.707914484
278.792,0.707914484
278.833,0.707914484
278.875,0.707914484
278.917,0.707914484
278.958,0.707914484
279,0.707914484
279.042,0.707914484
279.083,0.707914484
279.125,0.707914484
279.167,0.707914484
279.208,0.707914484
279.25,0.707914484
279.292,0.707914484
279.333,0.707914484
279.375,0.707914484
279.417,0.707914484
279.458,0.707914484
279.5,0.707914484
279.542,0.707914484
279.583,0.707914484
279.625,0.707914484
279.667,0.707914484
279.708,0.707914484
279.75,0.707914484
279.792,0.707914484
279.833,0.707914484
279.875,0.707914484
279.917,0.707914484
279.958,0.707914484
280,0.707914484
280.042,0.707914484
280.083,0.707914484
280.125,0.707914484
280.167,0.707914484
280.208,0.707914484
280.25,0.707914484
280.292,0.707914484
280.333,0.707914484
280.375,0.707914484
280.417,0.707914484
280.458,0.707914484
280.5,0.707914484
280.542,0.707914484
280.583,0.707914484
280.625,0.707914484
280.667,0.707914484
280.708,0.707914484
280.75,0.707914484
280.792,0.707914484
280.833,0.707914484
280.875,0.707914484
280.917,0.707914484
280.958,0.707914484
281,0.707914484
281.042,0.707914484
281.083,0.707914484
281.125,0.707914484
281.167,0.707914484
281.208,0.707914484
281.25,0.707914484
281.292,0.707914484
281.333,0.707914484
281.375,0.707914484
281.417,0.707914484
281.458,0.707914484
281.5,0.707914484
281.542,0.707914484
281.583,0.707914484
281.625,0.707914484
281.667,0.707914484
281.708,0.707914484
281.75,0.707914484
281.792,0.707914484
281.833,0.707914484
281.875,0.707914484
281.917,0.707914484
281.958,0.707914484
282,0.707914484
282.042,0.707914484
282.083,0.707914484
282.125,0.707914484
282.167,0.707914484
282.208,0.707914484
282.25,0.707914484
282.292,0.707914484
282.333,0.707914484
282.375,0.707914484
282.417,0.707914484
282.458,0.707914484
282.5,0.707914484
282.542,0.707914484
282.583,0.707914484
282.625,0.707914484
282.667,0.707914484
282.708,0.707914484
282.75,0.707914484
282.792,0.707914484
282.833,0.707914484
282.875,0.707914484
282.917,0.707914484
282.958,0.707914484
283,0.707914484
283.042,0.707914484
283.083,0.707914484
283.125,0.707914484
283.167,0.707914484
283.208,0.707914484
283.25,0.707914484
283.292,0.707914484
283.333,0.707914484
283.375,0.707914484
283.417,0.707914484
283.458,0.707914484
283.5,0.707914484
283.542,0.707914484
283.583,0.707914484
283.625,0.707914484
283.667,0.707914484
283.708,0.707914484
283.75,0.707914484
283.792,0.707914484
283.833,0.707914484
283.875,0.707914484
283.917,0.707914484
283.958,0.707914484
284,0.707914484
284.042,0.707914484
284.083,0.707914484
284.125,0.707914484
284.167,0.707914484
284.208,0.707914484
284.25,0.707914484
284.292,0.707914484
284.333,0.707914484
284.375,0.707914484
284.417,0.707914484
284.458,0.707914484
284.5,0.707914484
284.542,0.707914484
284.583,0.707914484
284.625,0.707914484
284.667,0.707914484
284.708,0.707914484
284.75,0.707914484
284.792,0.707914484
284.833,0.707914484
284.875,0.707914484
284.917,0.707914484
284.958,0.707914484
285,0.707914484
285.042,0.707914484
285.083,0.707914484
285.125,0.707914484
285.167,0.707914484
285.208,0.707914484
285.25,0.707914484
